# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK2	-42.0674	-5.6503	92.9843
#HK_resample	-51.5591	-7.0299	100.9758
#HK_2nd	-62.6861	-8.7569	92.4256
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
HK	Session 1	4	0.0000	-18.0000	18.0000	2020-08-26	10:38:24.474	TTL1	0.0000	1	10.0000	90.0000	28.5042
HK2	Session 1	5	-42.0674	-5.6503	92.9843	2020-08-26	10:42:05.289	TTL1	0.0000	1	10.0000	90.0000	18.2426
MEP Start	Session 1	12	-41.4409	-5.3484	92.7994	2020-08-26	10:46:19.551	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 13	Session 1	13	-41.6446	-5.3241	92.6311	2020-08-26	10:46:22.964	TTL1	0.0000	1	10.0000	90.0000	72.9704
Sample 14	Session 1	14	-41.7244	-5.2954	92.5584	2020-08-26	10:46:29.011	TTL1	0.0000	1	10.0000	90.0000	72.9705
Sample 15	Session 1	15	-41.9576	-5.6679	92.5124	2020-08-26	10:46:34.177	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 16	Session 1	16	-41.6178	-5.6801	92.4098	2020-08-26	10:46:41.126	TTL1	0.0000	1	10.0000	90.0000	75.2507
Sample 17	Session 1	17	-41.6722	-5.9746	92.5437	2020-08-26	10:46:44.536	TTL1	0.0000	1	10.0000	90.0000	77.5311
Sample 18	Session 1	18	-41.7452	-5.8584	92.6453	2020-08-26	10:46:49.145	TTL1	0.0000	1	10.0000	90.0000	72.9705
Sample 19	Session 1	19	-41.7898	-5.8743	92.4720	2020-08-26	10:46:52.348	TTL1	0.0000	1	10.0000	90.0000	72.9705
Sample 20	Session 1	20	-41.9271	-5.9190	92.2783	2020-08-26	10:46:58.100	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 21	Session 1	21	-41.9655	-5.8644	92.3502	2020-08-26	10:47:01.611	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 22	Session 1	22	-41.7953	-6.0107	92.3814	2020-08-26	10:47:07.613	TTL1	0.0000	1	10.0000	90.0000	74.1106
Sample 23	Session 1	23	-41.8124	-5.9296	92.3868	2020-08-26	10:47:10.078	TTL1	0.0000	1	10.0000	90.0000	68.4099
Sample 24	Session 1	24	-41.7739	-5.9748	92.3677	2020-08-26	10:47:15.130	TTL1	0.0000	1	10.0000	90.0000	67.2696
Sample 25	Session 1	25	-41.9780	-5.7701	92.1511	2020-08-26	10:47:22.238	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 26	Session 1	26	-41.9614	-5.5644	92.2515	2020-08-26	10:47:26.199	TTL1	0.0000	1	10.0000	90.0000	67.2697
Sample 27	Session 1	27	-41.7589	-5.8163	92.0898	2020-08-26	10:47:32.200	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 28	Session 1	28	-41.7120	-5.6788	92.2276	2020-08-26	10:47:41.072	TTL1	0.0000	1	10.0000	90.0000	69.5500
Sample 29	Session 1	29	-41.6000	-5.6000	92.3668	2020-08-26	10:47:49.784	TTL1	0.0000	1	10.0000	90.0000	68.4099
Sample 30	Session 1	30	-41.6447	-5.6594	92.2378	2020-08-26	10:47:53.444	TTL1	0.0000	1	10.0000	90.0000	64.9894
Sample 31	Session 1	31	-41.5978	-5.5266	92.3228	2020-08-26	10:47:59.489	TTL1	0.0000	1	10.0000	90.0000	62.7090
Sample 32	Session 1	32	-41.5047	-5.7182	92.3689	2020-08-26	10:48:03.249	TTL1	0.0000	1	10.0000	90.0000	69.5500
MEP End	Session 1	33	-41.4731	-5.9072	92.2432	2020-08-26	10:48:09.205	TTL1	0.0000	1	10.0000	90.0000	64.9893
ICF Start	Session 1	34	-41.7050	-6.2128	92.7007	2020-08-26	10:50:41.947	TTL1	0.0000	1	10.0000	90.0000	239.4343
Sample 35	Session 1	35	-41.7050	-6.2128	92.7007	2020-08-26	10:50:41.947	TTL1	0.0000	1	10.0000	90.0000	132.2589
Sample 36	Session 1	36	-42.2582	-6.1629	92.1989	2020-08-26	10:50:52.031	TTL1	0.0000	1	10.0000	90.0000	248.5557
Sample 37	Session 1	37	-42.2582	-6.1629	92.1989	2020-08-26	10:50:52.031	TTL1	0.0000	1	10.0000	90.0000	143.6606
Sample 38	Session 1	38	-41.8618	-6.3037	92.3141	2020-08-26	10:51:02.062	TTL1	0.0000	1	10.0000	90.0000	145.9410
Sample 39	Session 1	39	-42.0149	-5.8733	92.2852	2020-08-26	10:51:12.136	TTL1	0.0000	1	10.0000	90.0000	255.3965
Sample 40	Session 1	40	-42.0149	-5.8733	92.2852	2020-08-26	10:51:12.136	TTL1	0.0000	1	10.0000	90.0000	145.9409
Sample 41	Session 1	41	-42.0476	-5.9204	92.1382	2020-08-26	10:51:22.168	TTL1	0.0000	1	10.0000	90.0000	139.1000
Sample 42	Session 1	42	-42.0829	-5.9705	92.4330	2020-08-26	10:51:32.257	TTL1	0.0000	1	10.0000	90.0000	220.0516
Sample 43	Session 1	43	-42.0829	-5.9705	92.4330	2020-08-26	10:51:32.271	TTL1	0.0000	1	10.0000	90.0000	119.7172
Sample 44	Session 1	44	-41.7849	-6.2709	92.7244	2020-08-26	10:51:42.285	TTL1	0.0000	1	10.0000	90.0000	119.7172
Sample 45	Session 1	45	-41.8892	-5.8827	92.3530	2020-08-26	10:51:52.368	TTL1	0.0000	1	10.0000	90.0000	217.7713
Sample 46	Session 1	46	-41.8892	-5.8827	92.3530	2020-08-26	10:51:52.382	TTL1	0.0000	1	10.0000	90.0000	112.8762
Sample 47	Session 1	47	-42.2164	-6.1609	92.2109	2020-08-26	10:52:02.395	TTL1	0.0000	1	10.0000	90.0000	209.7900
Sample 48	Session 1	48	-42.2164	-6.1609	92.2109	2020-08-26	10:52:02.409	TTL1	0.0000	1	10.0000	90.0000	108.3156
Sample 49	Session 1	49	-41.8141	-6.1087	91.9287	2020-08-26	10:52:12.477	TTL1	0.0000	1	10.0000	90.0000	212.0704
Sample 50	Session 1	50	-41.8141	-6.1087	91.9287	2020-08-26	10:52:12.505	TTL1	0.0000	1	10.0000	90.0000	102.6147
Sample 51	Session 1	51	-41.8762	-6.0831	91.8374	2020-08-26	10:52:22.520	TTL1	0.0000	1	10.0000	90.0000	217.7712
Sample 52	Session 1	52	-41.8762	-6.0831	91.8374	2020-08-26	10:52:22.520	TTL1	0.0000	1	10.0000	90.0000	107.1754
Sample 53	Session 1	53	-42.0539	-6.2600	91.8473	2020-08-26	10:52:32.602	TTL1	0.0000	1	10.0000	90.0000	214.3508
Sample 54	Session 1	54	-42.0539	-6.2600	91.8473	2020-08-26	10:52:32.602	TTL1	0.0000	1	10.0000	90.0000	99.1942
Sample 55	Session 1	55	-42.0166	-6.0738	91.9639	2020-08-26	10:52:42.632	TTL1	0.0000	1	10.0000	90.0000	196.1081
Sample 56	Session 1	56	-42.0166	-6.0738	91.9639	2020-08-26	10:52:42.645	TTL1	0.0000	1	10.0000	90.0000	85.5123
Sample 57	Session 1	57	-42.0175	-6.2464	92.0669	2020-08-26	10:52:52.712	TTL1	0.0000	1	10.0000	90.0000	84.3721
Sample 58	Session 1	58	-41.4147	-6.3010	92.4099	2020-08-26	10:53:02.731	TTL1	0.0000	1	10.0000	90.0000	186.9868
Sample 59	Session 1	59	-41.4147	-6.3010	92.4099	2020-08-26	10:53:02.745	TTL1	0.0000	1	10.0000	90.0000	75.2508
Sample 60	Session 1	60	-41.5999	-6.1550	92.0938	2020-08-26	10:53:12.808	TTL1	0.0000	1	10.0000	90.0000	69.5500
Sample 61	Session 1	61	-41.4047	-5.8736	91.9574	2020-08-26	10:53:22.842	TTL1	0.0000	1	10.0000	90.0000	183.5663
Sample 62	Session 1	62	-41.4047	-5.8736	91.9574	2020-08-26	10:53:22.856	TTL1	0.0000	1	10.0000	90.0000	62.7090
Sample 63	Session 1	63	-41.4271	-6.4230	92.4600	2020-08-26	10:53:32.922	TTL1	0.0000	1	10.0000	90.0000	61.5688
Sample 64	Session 1	64	-41.4494	-6.5147	92.1713	2020-08-26	10:53:42.948	TTL1	0.0000	1	10.0000	90.0000	118.5770
Sample 65	Session 1	65	-41.4494	-6.5147	92.1713	2020-08-26	10:53:42.962	TTL1	0.0000	1	10.0000	90.0000	54.7278
Sample 66	Session 1	66	-41.6124	-6.2329	91.9383	2020-08-26	10:53:53.036	TTL1	0.0000	1	10.0000	90.0000	61.5688
Sample 67	Session 1	67	-41.6771	-6.0416	91.8017	2020-08-26	10:54:03.065	TTL1	0.0000	1	10.0000	90.0000	120.8574
Sample 68	Session 1	68	-41.6771	-6.0416	91.8017	2020-08-26	10:54:03.066	TTL1	0.0000	1	10.0000	90.0000	59.2885
Sample 69	Session 1	69	-41.5084	-6.3392	91.9953	2020-08-26	10:54:13.149	TTL1	0.0000	1	10.0000	90.0000	161.9032
Sample 70	Session 1	70	-41.5084	-6.3392	91.9953	2020-08-26	10:54:13.163	TTL1	0.0000	1	10.0000	90.0000	51.3074
Sample 71	Session 1	71	-42.1260	-5.7448	91.3230	2020-08-26	10:54:23.193	TTL1	0.0000	1	10.0000	90.0000	161.9033
Sample 72	Session 1	72	-42.1260	-5.7448	91.3230	2020-08-26	10:54:23.193	TTL1	0.0000	1	10.0000	90.0000	53.5877
Sample 73	Session 1	73	-41.5962	-5.9470	91.9765	2020-08-26	10:54:33.265	TTL1	0.0000	1	10.0000	90.0000	100.3344
Sample 74	Session 1	74	-41.5962	-5.9470	91.9765	2020-08-26	10:54:33.278	TTL1	0.0000	1	10.0000	90.0000	54.7278
Sample 75	Session 1	75	-41.5846	-5.9169	92.3375	2020-08-26	10:54:43.295	TTL1	0.0000	1	10.0000	90.0000	158.4827
Sample 76	Session 1	76	-41.5846	-5.9169	92.3375	2020-08-26	10:54:43.309	TTL1	0.0000	1	10.0000	90.0000	52.4475
Sample 77	Session 1	77	-41.8586	-6.0021	92.3215	2020-08-26	10:54:53.382	TTL1	0.0000	1	10.0000	90.0000	51.3073
Sample 78	Session 1	78	-41.1030	-6.4544	92.6598	2020-08-26	10:55:03.402	TTL1	0.0000	1	10.0000	90.0000	83.2319
Sample 79	Session 1	79	-41.1030	-6.4544	92.6598	2020-08-26	10:55:03.416	TTL1	0.0000	1	10.0000	90.0000	45.6066
Sample 80	Session 1	80	-42.2245	-5.8469	91.8257	2020-08-26	10:55:13.495	TTL1	0.0000	1	10.0000	90.0000	52.4475
Sample 81	Session 1	81	-41.7515	-6.4339	92.2257	2020-08-26	10:55:23.524	TTL1	0.0000	1	10.0000	90.0000	104.8950
Sample 82	Session 1	82	-41.7515	-6.4339	92.2257	2020-08-26	10:55:23.524	TTL1	0.0000	1	10.0000	90.0000	58.1483
Sample 83	Session 1	83	-41.4934	-6.1734	92.0301	2020-08-26	10:55:33.591	TTL1	0.0000	1	10.0000	90.0000	111.7360
