# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_USE	-36.4484	-3.8726	97.0482
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
n	Session 2	1	-36.8711	-4.3280	95.4855	2020-09-29	10:49:25.699	TTL1	0.0000	1	14.9997	60.0001	20.5229
FIRST MEP	Session 2	14	-36.6186	-4.2546	95.7271	2020-09-29	10:53:17.888	TTL1	0.0000	1	14.9997	60.0001	164.1835
Sample 15	Session 2	15	-36.4140	-4.0356	95.9896	2020-09-29	10:53:20.904	TTL1	0.0000	1	14.9997	60.0001	334.0679
Sample 16	Session 2	16	-36.4455	-4.2905	95.8397	2020-09-29	10:53:23.699	TTL1	0.0000	1	14.9997	60.0001	346.6097
Sample 17	Session 2	17	-36.6226	-4.1827	95.9012	2020-09-29	10:53:25.507	TTL1	0.0000	1	14.9997	60.0001	190.4073
Sample 18	Session 2	18	-35.8939	-4.1467	96.3307	2020-09-29	10:53:28.553	TTL1	0.0000	1	14.9997	60.0001	273.6392
Sample 19	Session 2	19	-36.2823	-4.0586	96.0914	2020-09-29	10:53:31.305	TTL1	0.0000	1	14.9997	60.0001	164.1835
Sample 20	Session 2	20	-36.2861	-4.2655	96.0013	2020-09-29	10:53:33.612	TTL1	0.0000	1	14.9997	60.0001	66.1295
Sample 21	Session 2	21	-36.4350	-4.1104	95.9956	2020-09-29	10:53:36.017	TTL1	0.0000	1	14.9997	60.0001	55.8680
Sample 22	Session 2	22	-36.4436	-4.2057	95.8861	2020-09-29	10:53:38.269	TTL1	0.0000	1	14.9997	60.0001	90.0729
Sample 23	Session 2	23	-36.5078	-4.1105	95.9447	2020-09-29	10:53:41.674	TTL1	0.0000	1	14.9997	60.0001	58.1483
Sample 24	Session 2	24	-36.6563	-3.9028	95.9911	2020-09-29	10:53:43.231	TTL1	0.0000	1	14.9997	60.0001	91.2131
Sample 25	Session 2	25	-36.4325	-4.0359	95.9731	2020-09-29	10:53:47.485	TTL1	0.0000	1	14.9997	60.0001	295.3024
Sample 26	Session 2	26	-36.7422	-3.8224	95.9428	2020-09-29	10:53:50.988	TTL1	0.0000	1	14.9997	60.0001	215.4908
Sample 27	Session 2	27	-36.7921	-3.8352	95.9298	2020-09-29	10:53:54.088	TTL1	0.0000	1	14.9997	60.0001	280.4802
Sample 28	Session 2	28	-36.7942	-3.9072	95.8846	2020-09-29	10:53:57.451	TTL1	0.0000	1	14.9997	60.0001	328.3671
Sample 29	Session 2	29	-36.5112	-4.0356	95.8905	2020-09-29	10:54:00.954	TTL1	0.0000	1	14.9997	60.0001	223.4720
Sample 30	Session 2	30	-36.4365	-4.1037	96.0354	2020-09-29	10:54:04.262	TTL1	0.0000	1	14.9997	60.0001	163.0433
Sample 31	Session 2	31	-36.5115	-4.1117	96.0714	2020-09-29	10:54:07.418	TTL1	0.0000	1	14.9997	60.0001	310.1245
Sample 32	Session 2	32	-36.6159	-3.9637	96.0147	2020-09-29	10:54:11.463	TTL1	0.0000	1	14.9997	60.0001	232.5934
