# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#MT	-42.8431	-13.0708	94.6017
#MT*	-38.5997	-17.8604	97.4491
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-48.9371	-10.7000	117.2588	2020-10-27	09:42:23.564	TTL1	0.0000	1	15.0046	60.0043	10.2615
Sample 2	Session 2	2	-47.2428	-13.0865	118.1979	2020-10-27	09:42:45.856	TTL1	0.0000	1	15.0046	60.0043	5.7008
Sample 3	Session 2	3	-48.0145	-13.5261	118.2013	2020-10-27	09:42:58.018	TTL1	0.0000	1	15.0046	60.0043	7.9812
Sample 4	Session 2	4	-46.5054	-13.4089	118.3964	2020-10-27	09:43:14.499	TTL1	0.0000	1	15.0046	60.0043	9.1213
Sample 5	Session 2	5	-47.3434	-13.4843	117.8120	2020-10-27	09:43:34.168	TTL1	0.0000	1	15.0046	60.0043	101.4745
Sample 6	Session 2	6	-47.5075	-13.1955	117.8805	2020-10-27	09:43:43.533	TTL1	0.0000	1	15.0046	60.0043	5.7008
Sample 7	Session 2	7	-47.4802	-12.7807	117.4809	2020-10-27	09:44:23.889	TTL1	0.0000	1	15.0046	60.0043	25.0836
Sample 8	Session 2	8	-47.3412	-12.6097	117.4824	2020-10-27	09:44:40.178	TTL1	0.0000	1	15.0046	60.0043	7.9812
N	Session 2	9	-46.7284	-12.0251	117.6202	2020-10-27	09:44:58.451	TTL1	0.0000	1	15.0046	60.0043	9.1213
Sample 10	Session 2	10	-47.5163	-11.9638	117.2514	2020-10-27	09:45:24.389	TTL1	0.0000	1	15.0046	60.0043	15.9623
Sample 11	Session 2	11	-46.9287	-12.8155	117.8758	2020-10-27	09:45:37.254	TTL1	0.0000	1	15.0046	60.0043	30.7844
Sample 12	Session 2	12	-46.5190	-11.8849	117.7838	2020-10-27	09:45:53.474	TTL1	0.0000	1	15.0046	60.0043	93.4934
Sample 13	Session 2	13	-46.7784	-12.6914	118.0947	2020-10-27	09:46:07.844	TTL1	0.0000	1	15.0046	60.0043	13.6820
Sample 14	Session 2	14	-47.5635	-12.8105	117.7508	2020-10-27	09:46:14.611	TTL1	0.0000	1	15.0046	60.0043	18.2426
Sample 15	Session 2	15	-47.4053	-12.7514	117.6961	2020-10-27	09:46:29.134	TTL1	0.0000	1	15.0046	60.0043	44.4664
Sample 16	Session 2	16	-47.3244	-12.8647	117.6572	2020-10-27	09:46:39.948	TTL1	0.0000	1	15.0046	60.0043	241.7147
Sample 17	Session 2	17	-47.3390	-12.5000	117.8965	2020-10-27	09:46:51.366	TTL1	0.0000	1	15.0046	60.0043	22.8033
Sample 18	Session 2	18	-47.4002	-12.6724	117.6876	2020-10-27	09:47:02.184	TTL1	0.0000	1	15.0046	60.0043	21.6631
Sample 19	Session 2	19	-47.4449	-12.5429	117.5683	2020-10-27	09:47:12.148	TTL1	0.0000	1	15.0046	60.0043	18.2427
Sample 20	Session 2	20	-47.2346	-12.5296	117.5297	2020-10-27	09:47:24.607	TTL1	0.0000	1	15.0046	60.0043	17.1025
Sample 21	Session 2	21	-47.3880	-12.3702	117.4815	2020-10-27	09:47:34.372	TTL1	0.0000	1	15.0046	60.0043	17.1024
Sample 22	Session 2	22	-47.1519	-12.1722	117.4260	2020-10-27	09:47:43.784	TTL1	0.0000	1	15.0046	60.0043	39.9056
Sample 23	Session 2	23	-47.3099	-12.4519	117.4200	2020-10-27	09:47:53.056	TTL1	0.0000	1	15.0046	60.0043	87.7925
Sample 24	Session 2	24	-47.1192	-12.5770	117.6024	2020-10-27	09:48:04.072	TTL1	0.0000	1	15.0046	60.0043	10.2615
Sample 25	Session 2	25	-47.1122	-12.2581	117.6242	2020-10-27	09:48:15.338	TTL1	0.0000	1	15.0046	60.0043	22.8033
Sample 26	Session 2	26	-47.1074	-12.3762	117.6069	2020-10-27	09:48:22.998	TTL1	0.0000	1	15.0046	60.0043	12.5417
