# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-52.5106	-13.4326	83.7987	2021-04-27	11:00:20.794	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 2	Session 2	2	-50.4643	-13.1679	84.7527	2021-04-27	11:01:52.336	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 3	Session 2	3	-50.3657	-13.6445	84.6986	2021-04-27	11:02:03.810	TTL1	0.0000	1	15.0011	59.9995	3.4204
Sample 4	Session 2	4	-53.0150	-14.2515	83.6684	2021-04-27	11:02:19.679	TTL1	0.0000	1	15.0011	59.9995	5.7008
Sample 5	Session 2	5	-52.5165	-12.8005	81.3115	2021-04-27	11:02:52.674	TTL1	0.0000	1	15.0011	59.9995	5.7008
Sample 6	Session 2	6	-49.3611	-13.2983	87.2489	2021-04-27	11:03:04.894	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 7	Session 2	7	-51.4713	-9.7711	85.7300	2021-04-27	11:03:11.403	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 8	Session 2	8	-52.6884	-13.3745	84.0715	2021-04-27	11:03:24.322	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 9	Session 2	9	-52.5754	-13.0628	83.9247	2021-04-27	11:03:29.780	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 10	Session 2	10	-53.7572	-14.5954	83.3813	2021-04-27	11:03:36.886	TTL1	0.0000	1	15.0011	59.9995	3.4204
Sample 11	Session 2	11	-52.6467	-11.9424	84.2940	2021-04-27	11:03:44.855	TTL1	0.0000	1	15.0011	59.9995	3.4204
Sample 12	Session 2	12	-52.9108	-13.6032	83.4106	2021-04-27	11:03:51.154	TTL1	0.0000	1	15.0011	59.9995	4.5605
Sample 13	Session 2	13	343.6112	-242.1903	303.5389	2021-04-27	11:05:38.113	TTL1	0.0000	1	15.0011	59.9995	5.7008
Sample 14	Session 2	14	343.6112	-242.1903	303.5389	2021-04-27	11:05:38.267	TTL1	0.0000	1	15.0011	59.9995	3.4205
Sample 15	Session 2	15	-51.4451	-14.5602	81.6874	2021-04-27	11:06:00.503	TTL1	0.0000	1	15.0011	59.9995	35.3450
Sample 16	Session 2	16	-51.7508	-14.6949	82.2491	2021-04-27	11:06:11.765	TTL1	0.0000	1	15.0011	59.9995	29.6443
Sample 17	Session 2	17	-51.6672	-13.7352	83.2739	2021-04-27	11:07:23.820	TTL1	0.0000	1	15.0011	59.9995	14.8221
Sample 18	Session 2	18	-52.6986	-14.0919	81.4365	2021-04-27	11:07:30.931	TTL1	0.0000	1	15.0011	59.9995	38.7656
Sample 19	Session 2	19	-52.6385	-13.6693	83.3432	2021-04-27	11:07:36.549	TTL1	0.0000	1	15.0011	59.9995	12.5417
Sample 20	Session 2	20	-52.3026	-14.0411	82.4880	2021-04-27	11:07:48.812	TTL1	0.0000	1	15.0011	59.9995	36.4852
Sample 21	Session 2	21	-52.0698	-14.0495	82.7536	2021-04-27	11:08:01.073	TTL1	0.0000	1	15.0011	59.9995	29.6443
Sample 22	Session 2	22	-52.5371	-13.8287	82.9176	2021-04-27	11:08:11.642	TTL1	0.0000	1	15.0011	59.9995	22.8032
Sample 23	Session 2	23	-51.3436	-14.4804	83.7529	2021-04-27	11:08:18.360	TTL1	0.0000	1	15.0011	59.9995	14.8221
