# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 29	-45.8254	-6.6195	90.2782
#HK	-45.8254	-6.6195	90.2782
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-45.9092	-6.7015	87.4975	2021-05-26	09:48:21.473	TTL1	0.0000	1	15.0047	59.9984	10.2615
Sample 2	Session 2	2	-45.1795	-7.0391	87.7017	2021-05-26	09:48:25.879	TTL1	0.0000	1	15.0047	59.9984	9.1212
Sample 3	Session 2	3	-44.7227	-7.6645	88.3063	2021-05-26	09:48:31.131	TTL1	0.0000	1	15.0047	59.9984	9.1213
Sample 4	Session 2	4	-45.6306	-7.3075	87.5677	2021-05-26	09:48:53.372	TTL1	0.0000	1	15.0047	59.9984	17.1025
Sample 5	Session 2	5	-47.1922	-7.3443	86.9337	2021-05-26	09:48:57.227	TTL1	0.0000	1	15.0047	59.9984	36.4852
Sample 6	Session 2	6	-44.8860	-7.1709	88.2767	2021-05-26	09:49:02.883	TTL1	0.0000	1	15.0047	59.9984	15.9623
Sample 7	Session 2	7	-44.5077	-7.8134	88.2642	2021-05-26	09:49:11.195	TTL1	0.0000	1	15.0047	59.9984	15.9623
Sample 8	Session 2	8	-44.9393	-7.8391	87.7188	2021-05-26	09:49:23.069	TTL1	0.0000	1	15.0047	59.9984	38.7656
Sample 9	Session 2	9	-44.7176	-6.7396	88.2527	2021-05-26	09:49:54.416	TTL1	0.0000	1	15.0047	59.9984	17.1025
Sample 10	Session 2	10	-44.7683	-7.0013	88.0545	2021-05-26	09:49:58.363	TTL1	0.0000	1	15.0047	59.9984	19.3828
Sample 11	Session 2	11	-44.8812	-7.2838	88.4722	2021-05-26	09:50:03.574	TTL1	0.0000	1	15.0047	59.9984	17.1025
Sample 12	Session 2	12	-44.6467	-7.4679	88.2237	2021-05-26	09:50:08.730	TTL1	0.0000	1	15.0047	59.9984	86.6524
Sample 13	Session 2	13	-45.0590	-7.4371	88.0073	2021-05-26	09:50:17.347	TTL1	0.0000	1	15.0047	59.9984	19.3828
Sample 14	Session 2	14	-44.2390	-7.0251	88.0173	2021-05-26	09:51:06.765	TTL1	0.0000	1	15.0047	59.9984	72.9704
Sample 15	Session 2	15	-44.6150	-7.5812	87.6839	2021-05-26	09:51:12.129	TTL1	0.0000	1	15.0047	59.9984	41.0458
Sample 16	Session 2	16	-44.8328	-7.4444	88.7760	2021-05-26	09:52:10.051	TTL1	0.0000	1	15.0047	59.9984	9.1212
Sample 17	Session 2	17	-45.0054	-7.6008	88.1165	2021-05-26	09:52:17.568	TTL1	0.0000	1	15.0047	59.9984	51.3074
Sample 18	Session 2	18	-44.8164	-7.7229	88.1345	2021-05-26	09:52:26.128	TTL1	0.0000	1	15.0047	59.9984	9.1212
Sample 19	Session 2	19	-44.9214	-7.5073	88.0328	2021-05-26	09:52:33.243	TTL1	0.0000	1	15.0047	59.9984	14.8221
Sample 20	Session 2	20	-44.6975	-7.7035	87.9268	2021-05-26	09:52:40.052	TTL1	0.0000	1	15.0047	59.9984	23.9435
Sample 21	Session 2	21	-44.1522	-7.5184	88.5812	2021-05-26	09:52:47.459	TTL1	0.0000	1	15.0047	59.9984	128.8384
Sample 22	Session 2	22	-44.5061	-7.6830	88.1691	2021-05-26	09:52:53.962	TTL1	0.0000	1	15.0047	59.9984	35.3450
Sample 23	Session 2	23	-44.2328	-7.7747	88.3172	2021-05-26	09:53:13.490	TTL1	0.0000	1	15.0047	59.9984	74.1107
Sample 24	Session 2	24	-44.1952	-7.5850	88.3316	2021-05-26	09:53:21.607	TTL1	0.0000	1	15.0047	59.9984	78.6713
Sample 25	Session 2	25	-44.3046	-7.6565	88.1989	2021-05-26	09:53:28.110	TTL1	0.0000	1	15.0047	59.9984	9.1212
Sample 26	Session 2	26	-44.2298	-7.7472	88.2920	2021-05-26	09:53:34.072	TTL1	0.0000	1	15.0047	59.9984	14.8221
Sample 27	Session 2	27	-44.3856	-7.8318	88.2114	2021-05-26	09:53:39.082	TTL1	0.0000	1	15.0047	59.9984	20.5229
Sample 28	Session 2	28	-44.4610	-7.7782	88.1488	2021-05-26	09:53:46.394	TTL1	0.0000	1	15.0047	59.9984	144.8007
Sample 29	Session 2	29	-44.5327	-7.7112	88.0385	2021-05-26	09:53:52.594	TTL1	0.0000	1	15.0047	59.9984	90.0729
