# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.

Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-58.3781	-15.3722	80.0132	2021-07-21	11:05:20.320	TTL1	0.0000	1	15.0026	59.9950	615.6882
Sample 2	Session 1	2	-57.7634	-13.1187	80.6043	2021-07-21	11:05:35.151	TTL1	0.0000	1	15.0026	59.9950	205.2295
Sample 3	Session 1	3	-57.9501	-13.3170	80.3050	2021-07-21	11:05:43.163	TTL1	0.0000	1	15.0026	59.9950	977.1201
Sample 4	Session 1	4	-55.1417	-11.2588	82.1381	2021-07-21	11:05:47.618	TTL1	0.0000	1	15.0026	59.9950	189.2672
Sample 5	Session 1	5	-57.8968	-14.1823	79.9605	2021-07-21	11:05:59.181	TTL1	0.0000	1	15.0026	59.9950	442.3834
Sample 6	Session 1	6	-57.4438	-11.4343	80.0988	2021-07-21	11:06:07.693	TTL1	0.0000	1	15.0026	59.9950	136.8196
Sample 7	Session 1	7	-56.5829	-10.1116	80.7401	2021-07-21	11:06:14.854	TTL1	0.0000	1	15.0026	59.9950	167.6040
Sample 8	Session 1	8	-51.7695	-12.6724	85.2734	2021-07-21	11:06:22.963	TTL1	0.0000	1	15.0026	59.9950	82.0918
Sample 9	Session 1	9	-54.0014	-13.9881	85.3632	2021-07-21	11:06:35.738	TTL1	0.0000	1	15.0026	59.9950	241.7147
Sample 10	Session 1	10	-55.6302	-18.3856	84.7269	2021-07-21	11:06:44.146	TTL1	0.0000	1	15.0026	59.9950	44.4663
Sample 11	Session 1	11	-50.1122	-9.3957	86.4009	2021-07-21	11:06:53.955	TTL1	0.0000	1	15.0026	59.9950	54.7278
Sample 12	Session 1	12	-55.0268	-11.2064	83.0376	2021-07-21	11:07:05.471	TTL1	0.0000	1	15.0026	59.9950	363.7122
Sample 13	Session 1	13	-55.7729	-11.2319	82.8375	2021-07-21	11:07:49.788	TTL1	0.0000	1	15.0026	59.9950	236.0139
