# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-56.2529	-11.8773	83.4561	2021-07-28	11:11:12.484	TTL1	0.0000	1	15.0026	59.9961	36.4852
Sample 2	Session 2	2	-55.6198	-11.5249	83.3779	2021-07-28	11:11:17.543	TTL1	0.0000	1	15.0026	59.9961	63.8492
Sample 3	Session 2	3	-56.2545	-11.8683	82.9580	2021-07-28	11:11:27.100	TTL1	0.0000	1	15.0026	59.9961	29.6443
Sample 4	Session 2	4	-54.1974	-7.5277	83.1036	2021-07-28	11:11:33.771	TTL1	0.0000	1	15.0026	59.9961	151.6418
HK_S2	Session 2	5	-54.4879	-7.9677	83.3555	2021-07-28	11:11:41.619	TTL1	0.0000	1	15.0026	59.9961	216.6310
Sample 6	Session 2	6	-61.8231	-8.2545	76.8437	2021-07-28	11:11:48.432	TTL1	0.0000	1	15.0026	59.9961	93.4935
Sample 7	Session 2	7	-61.7999	-8.2857	77.0423	2021-07-28	11:11:55.450	TTL1	0.0000	1	15.0026	59.9961	77.5311
Sample 8	Session 2	8	-53.4066	5.4321	79.1032	2021-07-28	11:12:01.648	TTL1	0.0000	1	15.0026	59.9961	20.5229
Sample 9	Session 2	9	-59.1329	-0.3924	76.0125	2021-07-28	11:12:05.415	TTL1	0.0000	1	15.0026	59.9961	188.1270
Sample 10	Session 2	10	-54.9192	-8.3192	82.9344	2021-07-28	11:16:18.172	TTL1	0.0000	1	15.0026	59.9961	85.5123
Sample 11	Session 2	11	-54.9939	-8.5561	82.8063	2021-07-28	11:16:32.540	TTL1	0.0000	1	15.0026	59.9961	5.7008
Sample 12	Session 2	12	-54.5994	-8.4893	83.0937	2021-07-28	11:16:41.104	TTL1	0.0000	1	15.0026	59.9961	45.6066
Sample 13	Session 2	13	-54.5052	-8.2762	83.0494	2021-07-28	11:17:00.281	TTL1	0.0000	1	15.0026	59.9961	237.1540
Sample 14	Session 2	14	-54.5582	-8.2837	82.9480	2021-07-28	11:17:09.502	TTL1	0.0000	1	15.0026	59.9961	190.4073
Sample 15	Session 2	15	-54.8014	-8.4573	82.8326	2021-07-28	11:17:17.712	TTL1	0.0000	1	15.0026	59.9961	4.5607
Sample 16	Session 2	16	-54.3646	-8.6407	82.9678	2021-07-28	11:17:24.577	TTL1	0.0000	1	15.0026	59.9961	17.1025
Sample 17	Session 2	17	-54.8317	-8.8606	82.6964	2021-07-28	11:17:33.985	TTL1	0.0000	1	15.0026	59.9961	10.2615
Sample 18	Session 2	18	-55.2285	-8.9354	82.4622	2021-07-28	11:17:44.402	TTL1	0.0000	1	15.0026	59.9961	22.8032
Sample 19	Session 2	19	-54.2217	-7.9526	83.0893	2021-07-28	11:17:53.911	TTL1	0.0000	1	15.0026	59.9961	29.6443
Sample 20	Session 2	20	-54.3552	-8.0778	82.7653	2021-07-28	11:18:04.026	TTL1	0.0000	1	15.0026	59.9961	359.1514
Sample 21	Session 2	21	-54.7435	-8.2992	82.4825	2021-07-28	11:18:12.838	TTL1	0.0000	1	15.0026	59.9961	253.1163
Sample 22	Session 2	22	-54.6664	-8.2036	82.6330	2021-07-28	11:18:19.898	TTL1	0.0000	1	15.0026	59.9961	237.1541
Sample 23	Session 2	23	-54.7126	-8.4305	82.7134	2021-07-28	11:18:27.513	TTL1	0.0000	1	15.0026	59.9961	107.1754
Sample 24	Session 2	24	-54.5704	-8.4949	82.7619	2021-07-28	11:18:37.116	TTL1	0.0000	1	15.0026	59.9961	3.4204
Sample 25	Session 2	25	-54.2610	-8.2576	82.8161	2021-07-28	11:18:45.176	TTL1	0.0000	1	15.0026	59.9961	4.5605
Sample 26	Session 2	26	-53.8682	-7.7373	82.9072	2021-07-28	11:18:53.389	TTL1	0.0000	1	15.0026	59.9961	36.4852
Sample 27	Session 2	27	-55.1014	-8.4443	82.4584	2021-07-28	11:19:10.715	TTL1	0.0000	1	15.0026	59.9961	171.0245
