# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_BL	-58.8009	-24.4652	78.7382
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-59.1960	-12.5766	84.0069	2021-09-08	11:24:53.505	TTL1	0.0000	1	14.9995	60.0006	46.7467
Sample 2	Session 1	2	-58.7030	-14.4840	86.9284	2021-09-08	11:25:07.325	TTL1	0.0000	1	14.9995	60.0006	10.2615
Sample 3	Session 1	3	-56.2361	-9.8979	84.8917	2021-09-08	11:25:24.645	TTL1	0.0000	1	14.9995	60.0006	132.2589
Sample 4	Session 1	4	-51.7528	-13.6269	90.3668	2021-09-08	11:25:59.058	TTL1	0.0000	1	14.9995	60.0006	54.7278
Sample 5	Session 1	5	-49.8234	-9.5270	89.8442	2021-09-08	11:26:02.755	TTL1	0.0000	1	14.9995	60.0006	86.6525
Sample 6	Session 1	6	-47.8991	-7.0209	89.7198	2021-09-08	11:26:12.222	TTL1	0.0000	1	14.9995	60.0006	119.7171
Sample 7	Session 1	7	-42.8836	-6.3370	92.2557	2021-09-08	11:26:17.336	TTL1	0.0000	1	14.9995	60.0006	41.0459
Sample 8	Session 1	8	-50.5069	-13.1321	90.0768	2021-09-08	11:26:27.342	TTL1	0.0000	1	14.9995	60.0006	15.9623
Sample 9	Session 1	9	-45.4275	-7.9547	91.6523	2021-09-08	11:26:31.455	TTL1	0.0000	1	14.9995	60.0006	15.9623
Sample 10	Session 1	10	-43.2511	-8.6714	93.6061	2021-09-08	11:26:35.861	TTL1	0.0000	1	14.9995	60.0006	11.4016
Sample 11	Session 1	11	-58.8009	-24.4652	78.7382	2021-09-08	11:26:54.639	TTL1	0.0000	1	14.9995	60.0006	66.1295
Sample 12	Session 1	12	-58.8009	-24.4652	78.7382	2021-09-08	11:27:00.546	TTL1	0.0000	1	14.9995	60.0006	120.8574
Sample 13	Session 1	13	-58.8009	-24.4652	78.7382	2021-09-08	11:27:06.905	TTL1	0.0000	1	14.9995	60.0006	21.6631
Sample 14	Session 1	14	-58.8009	-24.4652	78.7382	2021-09-08	11:27:12.063	TTL1	0.0000	1	14.9995	60.0006	19.3828
HK_BL	Session 1	15	-58.8009	-24.4652	78.7382	2021-09-08	11:27:17.375	TTL1	0.0000	1	14.9995	60.0006	141.3803
Sample 16	Session 1	16	-58.0651	3.2479	76.9520	2021-09-08	11:30:03.916	TTL1	0.0000	1	14.9995	60.0006	423.0006
Sample 17	Session 1	17	-55.4026	5.9957	77.8819	2021-09-08	11:30:11.171	TTL1	0.0000	1	14.9995	60.0006	190.4073
Sample 18	Session 1	18	-52.3270	5.5836	80.8827	2021-09-08	11:30:15.632	TTL1	0.0000	1	14.9995	60.0006	460.6260
Sample 19	Session 1	19	-53.7740	5.3583	80.4551	2021-09-08	11:32:39.542	TTL1	0.0000	1	14.9995	60.0006	250.8360
Sample 20	Session 1	20	-53.3777	4.7440	80.8561	2021-09-08	11:33:05.082	TTL1	0.0000	1	14.9995	60.0006	42.1860
Sample 21	Session 1	21	-53.6509	5.0002	80.2822	2021-09-08	11:33:17.148	TTL1	0.0000	1	14.9995	60.0006	150.5016
Sample 22	Session 1	22	-53.1582	5.4695	81.0319	2021-09-08	11:33:32.966	TTL1	0.0000	1	14.9995	60.0006	7.9812
Sample 23	Session 1	23	-53.4234	5.3456	80.8145	2021-09-08	11:33:36.176	TTL1	0.0000	1	14.9995	60.0006	13.6819
Sample 24	Session 1	24	-52.8651	5.1759	81.1072	2021-09-08	11:33:46.643	TTL1	0.0000	1	14.9995	60.0006	15.9623
Sample 25	Session 1	25	-52.9990	5.4099	81.0790	2021-09-08	11:33:50.547	TTL1	0.0000	1	14.9995	60.0006	14.8221
Sample 26	Session 1	26	-53.3886	4.6956	81.1531	2021-09-08	11:34:00.415	TTL1	0.0000	1	14.9995	60.0006	45.6066
Sample 27	Session 1	27	-53.2436	5.0723	80.9327	2021-09-08	11:34:07.225	TTL1	0.0000	1	14.9995	60.0006	13.6820
Sample 28	Session 1	28	-53.5019	4.6257	81.0305	2021-09-08	11:34:16.638	TTL1	0.0000	1	14.9995	60.0006	620.2489
Sample 29	Session 1	29	-52.9346	4.3194	81.3987	2021-09-08	11:34:26.102	TTL1	0.0000	1	14.9995	60.0006	155.0623
Sample 30	Session 1	30	-52.9788	3.9463	82.0053	2021-09-08	11:34:35.857	TTL1	0.0000	1	14.9995	60.0006	25.0836
Sample 31	Session 1	31	-53.2106	4.2981	82.0258	2021-09-08	11:34:39.818	TTL1	0.0000	1	14.9995	60.0006	44.4663
Sample 32	Session 1	32	-53.1515	5.2376	81.5211	2021-09-08	11:35:16.625	TTL1	0.0000	1	14.9995	60.0006	80.9516
Sample 33	Session 1	33	-52.5925	5.5193	82.1304	2021-09-08	11:35:32.199	TTL1	0.0000	1	14.9995	60.0006	19.3827
Sample 34	Session 1	34	-52.8428	5.7732	81.6734	2021-09-08	11:35:41.904	TTL1	0.0000	1	14.9995	60.0006	9.1213
Sample 35	Session 1	35	-52.9022	5.7826	81.7787	2021-09-08	11:35:46.115	TTL1	0.0000	1	14.9995	60.0006	13.6820
Sample 36	Session 1	36	-53.1713	5.7721	81.2924	2021-09-08	11:35:55.578	TTL1	0.0000	1	14.9995	60.0006	19.3828
Sample 37	Session 1	37	-52.9978	5.8149	81.4695	2021-09-08	11:35:58.887	TTL1	0.0000	1	14.9995	60.0006	44.4664
Sample 38	Session 1	38	-52.9573	5.7187	81.6261	2021-09-08	11:36:09.249	TTL1	0.0000	1	14.9995	60.0006	172.1647
Sample 39	Session 1	39	-52.6622	5.4461	81.9078	2021-09-08	11:36:18.055	TTL1	0.0000	1	14.9995	60.0006	76.3909
Sample 40	Session 1	40	-52.6191	5.8126	81.7202	2021-09-08	11:36:27.121	TTL1	0.0000	1	14.9995	60.0006	135.6794
Sample 41	Session 1	41	-52.5700	5.5557	82.2150	2021-09-08	11:36:36.838	TTL1	0.0000	1	14.9995	60.0006	23.9435
Sample 42	Session 1	42	-52.9308	5.2060	81.8369	2021-09-08	11:36:46.847	TTL1	0.0000	1	14.9995	60.0006	12.5417
Sample 43	Session 1	43	-52.7086	5.3060	81.9734	2021-09-08	11:36:50.461	TTL1	0.0000	1	14.9995	60.0006	10.2615
Sample 44	Session 1	44	-52.9608	5.1161	82.1873	2021-09-08	11:36:57.924	TTL1	0.0000	1	14.9995	60.0006	20.5229
Sample 45	Session 1	45	-53.7001	5.4411	81.9625	2021-09-08	11:37:08.792	TTL1	0.0000	1	14.9995	60.0006	83.2320
Sample 46	Session 1	46	-53.4208	5.1445	82.6824	2021-09-08	11:37:20.702	TTL1	0.0000	1	14.9995	60.0006	210.9302
Sample 47	Session 1	47	-53.9180	4.7363	82.9138	2021-09-08	11:37:30.863	TTL1	0.0000	1	14.9995	60.0006	29.6443
Sample 48	Session 1	48	-53.9044	5.1931	82.4042	2021-09-08	11:37:40.982	TTL1	0.0000	1	14.9995	60.0006	36.4852
Sample 49	Session 1	49	-54.0071	5.2771	82.5333	2021-09-08	11:37:51.046	TTL1	0.0000	1	14.9995	60.0006	82.0917
Sample 50	Session 1	50	-53.8589	5.4260	82.4871	2021-09-08	11:38:03.860	TTL1	0.0000	1	14.9995	60.0006	326.0867
Sample 51	Session 1	51	-54.0324	5.3192	82.4317	2021-09-08	11:38:14.380	TTL1	0.0000	1	14.9995	60.0006	15.9623
Sample 52	Session 1	52	-54.0821	6.3482	82.0228	2021-09-08	11:38:33.203	TTL1	0.0000	1	14.9995	60.0006	123.1377
Sample 53	Session 1	53	-53.8409	6.9148	82.6678	2021-09-08	11:38:43.529	TTL1	0.0000	1	14.9995	60.0006	17.1024
Sample 54	Session 1	54	-53.6313	6.3235	83.3420	2021-09-08	11:38:54.288	TTL1	0.0000	1	14.9995	60.0006	20.5229
Sample 55	Session 1	55	-53.0977	5.5903	82.9341	2021-09-08	11:39:05.551	TTL1	0.0000	1	14.9995	60.0006	28.5040
Sample 56	Session 1	56	-53.0381	5.0964	82.7102	2021-09-08	11:39:18.074	TTL1	0.0000	1	14.9995	60.0006	320.3860
Sample 57	Session 1	57	-53.0026	5.3031	82.0538	2021-09-08	11:39:27.290	TTL1	0.0000	1	14.9995	60.0006	106.0352
Sample 58	Session 1	58	-52.4704	5.6377	80.8641	2021-09-08	11:39:42.564	TTL1	0.0000	1	14.9995	60.0006	120.8574
Sample 59	Session 1	59	-51.9896	5.2010	81.1218	2021-09-08	11:39:52.028	TTL1	0.0000	1	14.9995	60.0006	70.6901
Sample 60	Session 1	60	-52.4013	5.3160	81.0605	2021-09-08	11:40:05.245	TTL1	0.0000	1	14.9995	60.0006	13.6820
Sample 61	Session 1	61	-51.9284	5.0910	81.8387	2021-09-08	11:40:12.610	TTL1	0.0000	1	14.9995	60.0006	5.7008
Sample 62	Session 1	62	-52.5628	5.4694	81.3401	2021-09-08	11:40:20.518	TTL1	0.0000	1	14.9995	60.0006	21.6631
Sample 63	Session 1	63	-52.6670	5.1097	81.4048	2021-09-08	11:40:30.888	TTL1	0.0000	1	14.9995	60.0006	115.1564
Sample 64	Session 1	64	-52.2679	5.0008	81.7243	2021-09-08	11:40:38.893	TTL1	0.0000	1	14.9995	60.0006	31.9246
Sample 65	Session 1	65	-53.0119	5.1148	81.0426	2021-09-08	11:40:47.761	TTL1	0.0000	1	14.9995	60.0006	36.4852
Sample 66	Session 1	66	-52.4199	5.0358	81.8477	2021-09-08	11:40:55.515	TTL1	0.0000	1	14.9995	60.0006	74.1106
FIRST MEP	Session 1	67	-51.0511	5.1520	80.3234	2021-09-08	11:43:47.416	TTL1	0.0000	1	14.9995	60.0006	330.6474
Sample 68	Session 1	68	-51.2036	4.9816	80.4429	2021-09-08	11:43:52.280	TTL1	0.0000	1	14.9995	60.0006	500.5317
Sample 69	Session 1	69	-51.2086	5.1651	80.6613	2021-09-08	11:43:57.185	TTL1	0.0000	1	14.9995	60.0006	359.1514
Sample 70	Session 1	70	-51.1310	4.9239	80.6414	2021-09-08	11:44:02.286	TTL1	0.0000	1	14.9995	60.0006	655.5939
Sample 71	Session 1	71	-51.1240	5.0009	80.4039	2021-09-08	11:44:07.100	TTL1	0.0000	1	14.9995	60.0006	584.9039
Sample 72	Session 1	72	-51.0395	5.1811	80.6788	2021-09-08	11:44:12.160	TTL1	0.0000	1	14.9995	60.0006	815.2169
Sample 73	Session 1	73	-51.4997	5.1268	80.4991	2021-09-08	11:44:17.260	TTL1	0.0000	1	14.9995	60.0006	736.5457
Sample 74	Session 1	74	-51.5244	5.0656	80.6244	2021-09-08	11:44:22.013	TTL1	0.0000	1	14.9995	60.0006	454.9252
Sample 75	Session 1	75	-51.4361	5.1075	80.7200	2021-09-08	11:44:26.520	TTL1	0.0000	1	14.9995	60.0006	735.4055
Sample 76	Session 1	76	-51.4007	5.0643	80.7595	2021-09-08	11:44:31.634	TTL1	0.0000	1	14.9995	60.0006	579.2031
Sample 77	Session 1	77	-51.3371	4.8109	80.7836	2021-09-08	11:44:36.584	TTL1	0.0000	1	14.9995	60.0006	328.3671
Sample 78	Session 1	78	-51.3848	4.9009	80.8416	2021-09-08	11:44:42.354	TTL1	0.0000	1	14.9995	60.0006	446.9441
Sample 79	Session 1	79	-51.2585	4.9446	80.8797	2021-09-08	11:44:47.109	TTL1	0.0000	1	14.9995	60.0006	763.9095
Sample 80	Session 1	80	-51.2439	5.0542	80.9999	2021-09-08	11:44:52.070	TTL1	0.0000	1	14.9995	60.0006	481.1490
Sample 81	Session 1	81	-51.3077	4.9583	80.9130	2021-09-08	11:44:57.214	TTL1	0.0000	1	14.9995	60.0006	467.4670
Sample 82	Session 1	82	-51.0917	5.0403	80.9664	2021-09-08	11:45:02.874	TTL1	0.0000	1	14.9995	60.0006	801.5350
Sample 83	Session 1	83	-51.5942	4.9536	81.0367	2021-09-08	11:45:07.980	TTL1	0.0000	1	14.9995	60.0006	477.7285
Sample 84	Session 1	84	-51.4280	5.1370	81.0362	2021-09-08	11:45:13.290	TTL1	0.0000	1	14.9995	60.0006	508.5129
Sample 85	Session 1	85	-51.4497	5.0003	81.0647	2021-09-08	11:45:18.099	TTL1	0.0000	1	14.9995	60.0006	719.4431
Sample 86	Session 1	86	-51.4060	5.0142	81.0445	2021-09-08	11:45:23.157	TTL1	0.0000	1	14.9995	60.0006	737.6858
Last MEP	Session 1	87	-51.5011	4.9512	81.0607	2021-09-08	11:45:29.022	TTL1	0.0000	1	14.9995	60.0006	604.2867
Sample 88	Session 1	88	-51.9509	5.5479	79.9501	2021-09-08	11:49:43.431	TTL1	0.0000	1	14.9995	60.0006	6.8411
Sample 89	Session 1	89	-51.9488	5.9582	80.2106	2021-09-08	11:49:53.509	TTL1	0.0000	1	14.9995	60.0006	7.9812
Sample 90	Session 1	90	-21.4722	-52.4450	269.6557	2021-09-08	11:50:24.757	TTL1	0.0000	1	14.9995	60.0006	5.7009
Sample 91	Session 1	91	-21.4722	-52.4450	269.6557	2021-09-08	11:50:45.786	TTL1	0.0000	1	14.9995	60.0006	6.8411
Sample 92	Session 1	92	-21.4722	-52.4450	269.6557	2021-09-08	11:52:53.570	TTL1	0.0000	1	14.9995	60.0006	18.2426
Sample 93	Session 1	93	-21.4722	-52.4450	269.6557	2021-09-08	11:53:12.946	TTL1	0.0000	1	14.9995	60.0006	10.2615
FIRST ICF	Session 1	94	-52.3092	4.4815	79.7072	2021-09-08	11:54:45.605	TTL1	0.0000	1	14.9995	60.0006	896.1685
Sample 95	Session 1	95	-52.3092	4.4815	79.7072	2021-09-08	11:54:45.605	TTL1	0.0000	1	14.9995	60.0006	896.1685
Sample 96	Session 1	96	-52.2924	4.1843	79.5574	2021-09-08	11:54:55.627	TTL1	0.0000	1	14.9995	60.0006	905.2897
Sample 97	Session 1	97	-52.2861	4.2969	79.6139	2021-09-08	11:54:55.641	TTL1	0.0000	1	14.9995	60.0006	905.2897
Sample 98	Session 1	98	-52.6928	4.0636	79.4452	2021-09-08	11:55:05.709	TTL1	0.0000	1	14.9995	60.0006	671.5563
Sample 99	Session 1	99	-52.6834	4.0916	79.7454	2021-09-08	11:55:15.734	TTL1	0.0000	1	14.9995	60.0006	663.5751
Sample 100	Session 1	100	-52.6834	4.0916	79.7454	2021-09-08	11:55:15.748	TTL1	0.0000	1	14.9995	60.0006	663.5751
Sample 101	Session 1	101	-52.7316	3.7826	79.4853	2021-09-08	11:55:25.814	TTL1	0.0000	1	14.9995	60.0006	506.2326
Sample 102	Session 1	102	-52.7192	3.8175	79.5768	2021-09-08	11:55:35.849	TTL1	0.0000	1	14.9995	60.0006	810.6562
Sample 103	Session 1	103	-52.7192	3.8175	79.5768	2021-09-08	11:55:35.877	TTL1	0.0000	1	14.9995	60.0006	810.6562
Sample 104	Session 1	104	-52.7491	3.8418	79.6163	2021-09-08	11:55:45.925	TTL1	0.0000	1	14.9995	60.0006	851.7021
Sample 105	Session 1	105	-52.8145	4.0920	79.7687	2021-09-08	11:55:55.968	TTL1	0.0000	1	14.9995	60.0006	1189.1906
Sample 106	Session 1	106	-52.8145	4.0920	79.7687	2021-09-08	11:55:55.981	TTL1	0.0000	1	14.9995	60.0006	1189.1906
Sample 107	Session 1	107	-52.9500	3.9638	79.6187	2021-09-08	11:56:06.047	TTL1	0.0000	1	14.9995	60.0006	1230.2363
Sample 108	Session 1	108	-52.9500	3.9638	79.6187	2021-09-08	11:56:06.047	TTL1	0.0000	1	14.9995	60.0006	1230.2363
Sample 109	Session 1	109	-52.9964	4.2399	79.6659	2021-09-08	11:56:16.083	TTL1	0.0000	1	14.9995	60.0006	950.8964
Sample 110	Session 1	110	-52.9964	4.2399	79.6659	2021-09-08	11:56:16.097	TTL1	0.0000	1	14.9995	60.0006	950.8964
Sample 111	Session 1	111	-52.9677	4.0727	79.7445	2021-09-08	11:56:26.160	TTL1	0.0000	1	14.9995	60.0006	788.9930
Sample 112	Session 1	112	-52.9677	4.0727	79.7445	2021-09-08	11:56:26.173	TTL1	0.0000	1	14.9995	60.0006	788.9930
Sample 113	Session 1	113	-53.0289	4.0497	79.6271	2021-09-08	11:56:36.195	TTL1	0.0000	1	14.9995	60.0006	1066.0529
Sample 114	Session 1	114	-53.0184	4.1389	79.6696	2021-09-08	11:56:36.209	TTL1	0.0000	1	14.9995	60.0006	1066.0529
Sample 115	Session 1	115	-52.9085	4.1428	79.5982	2021-09-08	11:56:46.284	TTL1	0.0000	1	14.9995	60.0006	923.5323
Sample 116	Session 1	116	-52.9085	4.1428	79.5982	2021-09-08	11:56:46.298	TTL1	0.0000	1	14.9995	60.0006	923.5323
Sample 117	Session 1	117	-52.8075	4.1395	79.7436	2021-09-08	11:56:56.318	TTL1	0.0000	1	14.9995	60.0006	453.7851
Sample 118	Session 1	118	-52.7441	4.1742	79.5993	2021-09-08	11:57:06.395	TTL1	0.0000	1	14.9995	60.0006	850.5620
Sample 119	Session 1	119	-52.7735	4.1864	79.5501	2021-09-08	11:57:06.408	TTL1	0.0000	1	14.9995	60.0006	850.5620
Sample 120	Session 1	120	-52.8428	4.1035	79.4802	2021-09-08	11:57:16.434	TTL1	0.0000	1	14.9995	60.0006	530.1760
Sample 121	Session 1	121	-52.8563	3.9531	79.6821	2021-09-08	11:57:26.523	TTL1	0.0000	1	14.9995	60.0006	722.8636
Sample 122	Session 1	122	-52.8563	3.9531	79.6821	2021-09-08	11:57:26.523	TTL1	0.0000	1	14.9995	60.0006	722.8636
Sample 123	Session 1	123	-52.9613	3.8068	79.5494	2021-09-08	11:57:36.558	TTL1	0.0000	1	14.9995	60.0006	544.9981
Sample 124	Session 1	124	-52.9922	3.9736	79.5892	2021-09-08	11:57:46.634	TTL1	0.0000	1	14.9995	60.0006	198.3884
Sample 125	Session 1	125	-52.9672	3.9727	79.6260	2021-09-08	11:57:46.635	TTL1	0.0000	1	14.9995	60.0006	198.3884
Sample 126	Session 1	126	-53.0823	4.2549	79.6561	2021-09-08	11:57:56.669	TTL1	0.0000	1	14.9995	60.0006	679.5374
Sample 127	Session 1	127	-53.1350	4.0817	79.4671	2021-09-08	11:58:06.731	TTL1	0.0000	1	14.9995	60.0006	501.6719
Sample 128	Session 1	128	-53.1350	4.0817	79.4671	2021-09-08	11:58:06.744	TTL1	0.0000	1	14.9995	60.0006	501.6719
Sample 129	Session 1	129	-53.1441	3.9684	79.4670	2021-09-08	11:58:16.759	TTL1	0.0000	1	14.9995	60.0006	753.6481
Sample 130	Session 1	130	-53.1344	3.9865	79.5106	2021-09-08	11:58:16.773	TTL1	0.0000	1	14.9995	60.0006	753.6481
Sample 131	Session 1	131	-53.1189	4.0253	79.3462	2021-09-08	11:58:26.843	TTL1	0.0000	1	14.9995	60.0006	817.4972
Sample 132	Session 1	132	-53.1125	3.9392	79.3318	2021-09-08	11:58:26.857	TTL1	0.0000	1	14.9995	60.0006	817.4972
Sample 133	Session 1	133	-53.2622	3.6549	79.2180	2021-09-08	11:58:36.881	TTL1	0.0000	1	14.9995	60.0006	202.9491
Sample 134	Session 1	134	-53.2622	3.6549	79.2180	2021-09-08	11:58:36.895	TTL1	0.0000	1	14.9995	60.0006	202.9491
Sample 135	Session 1	135	-54.5110	3.5691	78.9413	2021-09-08	11:58:46.974	TTL1	0.0000	1	14.9995	60.0006	575.7825
Sample 136	Session 1	136	-54.5404	3.7200	78.9949	2021-09-08	11:58:46.987	TTL1	0.0000	1	14.9995	60.0006	575.7825
Sample 137	Session 1	137	-53.2940	3.5623	80.3512	2021-09-08	11:58:57.012	TTL1	0.0000	1	14.9995	60.0006	768.4702
Sample 138	Session 1	138	-53.1315	3.5766	80.1276	2021-09-08	11:59:07.093	TTL1	0.0000	1	14.9995	60.0006	306.7040
Sample 139	Session 1	139	-53.1315	3.5766	80.1276	2021-09-08	11:59:07.093	TTL1	0.0000	1	14.9995	60.0006	306.7040
Sample 140	Session 1	140	-52.9638	3.6596	79.9187	2021-09-08	11:59:17.127	TTL1	0.0000	1	14.9995	60.0006	614.5482
Sample 141	Session 1	141	-52.8921	3.7067	79.8571	2021-09-08	11:59:27.217	TTL1	0.0000	1	14.9995	60.0006	361.4318
Sample 142	Session 1	142	-52.8921	3.7067	79.8571	2021-09-08	11:59:27.217	TTL1	0.0000	1	14.9995	60.0006	361.4318
Sample 143	Session 1	143	-52.8663	4.1351	80.1367	2021-09-08	11:59:37.247	TTL1	0.0000	1	14.9995	60.0006	365.9925
Sample 144	Session 1	144	-52.8263	4.1687	80.1981	2021-09-08	11:59:37.247	TTL1	0.0000	1	14.9995	60.0006	365.9925
Sample 145	Session 1	145	-53.2262	4.6826	80.2250	2021-09-08	11:59:47.324	TTL1	0.0000	1	14.9995	60.0006	539.2974
Sample 146	Session 1	146	-53.4996	4.5315	80.3047	2021-09-08	11:59:57.358	TTL1	0.0000	1	14.9995	60.0006	835.7398
Sample 147	Session 1	147	-53.4996	4.5315	80.3047	2021-09-08	11:59:57.373	TTL1	0.0000	1	14.9995	60.0006	835.7398
Sample 148	Session 1	148	-53.6335	4.3558	80.1267	2021-09-08	12:00:07.426	TTL1	0.0000	1	14.9995	60.0006	744.5268
Sample 149	Session 1	149	-53.7888	4.1689	80.0634	2021-09-08	12:00:17.447	TTL1	0.0000	1	14.9995	60.0006	555.2596
Sample 150	Session 1	150	-53.9283	3.7953	80.0090	2021-09-08	12:00:27.515	TTL1	0.0000	1	14.9995	60.0006	796.9744
Sample 151	Session 1	151	-53.8575	3.9907	80.1730	2021-09-08	12:00:37.554	TTL1	0.0000	1	14.9995	60.0006	212.0704
Sample 152	Session 1	152	-53.8575	3.9907	80.1730	2021-09-08	12:00:37.554	TTL1	0.0000	1	14.9995	60.0006	212.0704
Sample 153	Session 1	153	-53.5961	4.3843	80.1673	2021-09-08	12:00:47.632	TTL1	0.0000	1	14.9995	60.0006	347.7499
Sample 154	Session 1	154	-53.5961	4.3843	80.1673	2021-09-08	12:00:47.632	TTL1	0.0000	1	14.9995	60.0006	347.7499
Sample 155	Session 1	155	-53.3508	4.3662	80.1267	2021-09-08	12:00:57.658	TTL1	0.0000	1	14.9995	60.0006	779.8719
Sample 156	Session 1	156	-53.3508	4.3662	80.1267	2021-09-08	12:00:57.672	TTL1	0.0000	1	14.9995	60.0006	779.8719
Sample 157	Session 1	157	-53.3598	4.3671	79.9930	2021-09-08	12:01:07.742	TTL1	0.0000	1	14.9995	60.0006	621.3890
Sample 158	Session 1	158	-53.5105	4.6137	80.1186	2021-09-08	12:01:17.770	TTL1	0.0000	1	14.9995	60.0006	544.9981
Sample 159	Session 1	159	-53.5388	4.0176	79.8844	2021-09-08	12:01:27.845	TTL1	0.0000	1	14.9995	60.0006	621.3891
Sample 160	Session 1	160	-53.4340	4.2008	79.9114	2021-09-08	12:01:37.868	TTL1	0.0000	1	14.9995	60.0006	114.0164
Sample 161	Session 1	161	-53.4198	4.4196	80.0309	2021-09-08	12:01:37.881	TTL1	0.0000	1	14.9995	60.0006	114.0164
Sample 162	Session 1	162	-53.5523	4.1552	79.9594	2021-09-08	12:01:47.962	TTL1	0.0000	1	14.9995	60.0006	510.7932
Sample 163	Session 1	163	-53.4923	4.0696	80.1446	2021-09-08	12:01:57.996	TTL1	0.0000	1	14.9995	60.0006	385.3753
Sample 164	Session 1	164	-53.5819	4.1278	80.1319	2021-09-08	12:01:58.010	TTL1	0.0000	1	14.9995	60.0006	393.3564
Sample 165	Session 1	165	-53.5149	3.9277	80.0458	2021-09-08	12:02:08.076	TTL1	0.0000	1	14.9995	60.0006	258.8171
Sample 166	Session 1	166	-53.5170	3.9719	80.1702	2021-09-08	12:02:08.090	TTL1	0.0000	1	14.9995	60.0006	258.8171
Sample 167	Session 1	167	-53.2045	4.4363	80.6272	2021-09-08	12:02:18.113	TTL1	0.0000	1	14.9995	60.0006	847.1414
Sample 168	Session 1	168	-53.1856	4.5534	80.6436	2021-09-08	12:02:18.127	TTL1	0.0000	1	14.9995	60.0006	847.1414
