# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_BL	-58.8009	-24.4652	78.7382
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-54.2700	5.5224	80.5854	2021-09-15	10:59:44.883	TTL1	0.0000	1	15.0017	59.9992	95.7737
Sample 2	Session 2	2	-54.0510	5.4679	80.8562	2021-09-15	10:59:53.142	TTL1	0.0000	1	15.0017	59.9992	55.8680
Sample 3	Session 2	3	-54.5770	5.1714	81.7113	2021-09-15	11:00:22.285	TTL1	0.0000	1	15.0017	59.9992	199.5286
Sample 4	Session 2	4	-55.2233	4.9328	81.2144	2021-09-15	11:00:28.541	TTL1	0.0000	1	15.0017	59.9992	247.4155
Sample 5	Session 2	5	-82.7562	1.2687	201.4077	2021-09-15	11:01:09.849	TTL1	0.0000	1	15.0017	59.9992	4.5607
Sample 6	Session 2	6	-54.0426	4.9534	82.2207	2021-09-15	11:01:44.210	TTL1	0.0000	1	15.0017	59.9992	288.4614
Sample 7	Session 2	7	-53.6986	5.8092	81.6816	2021-09-15	11:01:55.472	TTL1	0.0000	1	15.0017	59.9992	28.5042
Sample 8	Session 2	8	-53.5189	6.0496	81.6870	2021-09-15	11:02:03.589	TTL1	0.0000	1	15.0017	59.9992	272.4991
Sample 9	Session 2	9	-53.3418	6.1566	81.5825	2021-09-15	11:02:11.638	TTL1	0.0000	1	15.0017	59.9992	151.6418
Sample 10	Session 2	10	-53.1557	6.2400	81.6196	2021-09-15	11:02:18.506	TTL1	0.0000	1	15.0017	59.9992	23.9435
Sample 11	Session 2	11	-53.0814	6.7175	81.7368	2021-09-15	11:02:25.210	TTL1	0.0000	1	15.0017	59.9992	69.5500
Sample 12	Session 2	12	-52.9514	6.6468	81.6739	2021-09-15	11:02:31.381	TTL1	0.0000	1	15.0017	59.9992	110.5959
Sample 13	Session 2	13	-52.9693	6.8299	81.4827	2021-09-15	11:02:37.635	TTL1	0.0000	1	15.0017	59.9992	49.0270
MEP_First	Session 2	14	-54.0531	5.3314	82.4058	2021-09-15	11:04:56.429	TTL1	0.0000	1	15.0017	59.9992	335.2080
Sample 15	Session 2	15	-53.9227	5.3342	82.2834	2021-09-15	11:05:09.551	TTL1	0.0000	1	15.0017	59.9992	217.7712
Sample 16	Session 2	16	-53.8964	5.7132	82.7152	2021-09-15	11:05:14.307	TTL1	0.0000	1	15.0017	59.9992	263.3777
Sample 17	Session 2	17	-53.7575	5.4897	82.6907	2021-09-15	11:05:19.564	TTL1	0.0000	1	15.0017	59.9992	190.4073
