# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK	-53.7029	-2.9393	78.1801
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-55.3943	-15.1389	80.9237	2021-08-24	10:24:43.097	TTL1	0.0000	1	14.9992	60.0002	12.5419
Sample 2	Session 1	2	-56.8581	-14.8216	80.5956	2021-08-24	10:24:52.760	TTL1	0.0000	1	14.9992	60.0002	7.9812
Sample 3	Session 1	3	-55.7121	-14.3517	80.6773	2021-08-24	10:25:17.440	TTL1	0.0000	1	14.9992	60.0002	6.8409
Sample 4	Session 1	4	-56.3448	-6.2503	77.6269	2021-08-24	10:25:25.105	TTL1	0.0000	1	14.9992	60.0002	7.9812
Sample 5	Session 1	5	-57.0952	-14.0804	80.0713	2021-08-24	10:25:55.904	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 6	Session 1	6	-54.0283	2.0443	77.5761	2021-08-24	10:25:59.350	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 7	Session 1	7	-56.2400	25.0444	65.3648	2021-08-24	10:26:13.126	TTL1	0.0000	1	14.9992	60.0002	9.1213
Sample 8	Session 1	8	-54.8658	26.7950	65.8297	2021-08-24	10:26:18.633	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 9	Session 1	9	-51.0963	20.7050	72.7416	2021-08-24	10:26:23.643	TTL1	0.0000	1	14.9992	60.0002	9.1212
Sample 10	Session 1	10	-59.6276	10.6279	68.5654	2021-08-24	10:26:33.153	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 11	Session 1	11	-55.0558	14.6880	73.3739	2021-08-24	10:26:49.932	TTL1	0.0000	1	14.9992	60.0002	11.4016
Sample 12	Session 1	12	-54.4486	15.8397	73.9419	2021-08-24	10:27:02.490	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 13	Session 1	13	-58.7277	-8.6621	79.5004	2021-08-24	10:27:09.610	TTL1	0.0000	1	14.9992	60.0002	12.5419
Sample 14	Session 1	14	-63.2360	23.4025	61.2135	2021-08-24	10:27:27.938	TTL1	0.0000	1	14.9992	60.0002	9.1212
Sample 15	Session 1	15	-51.0384	23.7390	73.8688	2021-08-24	10:27:35.799	TTL1	0.0000	1	14.9992	60.0002	9.1212
Sample 16	Session 1	16	-47.5629	48.6144	60.8507	2021-08-24	10:27:52.062	TTL1	0.0000	1	14.9992	60.0002	7.9812
Sample 17	Session 1	17	-61.6876	-0.1252	71.8016	2021-08-24	10:28:03.880	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 18	Session 1	18	-49.9988	1.6241	84.0321	2021-08-24	10:28:09.736	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 19	Session 1	19	-49.5912	1.3617	84.8612	2021-08-24	10:28:15.496	TTL1	0.0000	1	14.9992	60.0002	11.4016
Sample 20	Session 1	20	-48.8146	6.6375	83.8008	2021-08-24	10:28:21.907	TTL1	0.0000	1	14.9992	60.0002	13.6820
Sample 21	Session 1	21	-53.2987	2.7469	82.0486	2021-08-24	10:28:30.274	TTL1	0.0000	1	14.9992	60.0002	12.5419
Sample 22	Session 1	22	-53.5011	0.9151	81.7363	2021-08-24	10:28:37.931	TTL1	0.0000	1	14.9992	60.0002	14.8221
Sample 23	Session 1	23	-56.1860	7.1665	74.9942	2021-08-24	10:28:47.049	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 24	Session 1	24	-59.7259	13.0485	66.6310	2021-08-24	10:29:01.661	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 25	Session 1	25	-57.3407	12.0374	70.2860	2021-08-24	10:29:11.183	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 26	Session 1	26	-58.4971	8.8765	70.2044	2021-08-24	10:29:23.997	TTL1	0.0000	1	14.9992	60.0002	11.4016
Sample 27	Session 1	27	-59.3254	8.1106	68.4753	2021-08-24	10:29:35.821	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 28	Session 1	28	-60.7647	10.1029	66.8371	2021-08-24	10:29:43.226	TTL1	0.0000	1	14.9992	60.0002	9.1212
Sample 29	Session 1	29	-65.5091	9.4363	61.3043	2021-08-24	10:29:50.542	TTL1	0.0000	1	14.9992	60.0002	9.1213
Sample 30	Session 1	30	-60.7006	-7.8155	75.3313	2021-08-24	10:30:04.860	TTL1	0.0000	1	14.9992	60.0002	28.5042
Sample 31	Session 1	31	-57.0935	-3.6847	78.6860	2021-08-24	10:30:12.616	TTL1	0.0000	1	14.9992	60.0002	17.1024
Sample 32	Session 1	32	-63.6679	-1.9027	69.1115	2021-08-24	10:30:21.432	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 33	Session 1	33	-66.3615	-18.0189	73.5143	2021-08-24	10:30:53.421	TTL1	0.0000	1	14.9992	60.0002	7.9812
Sample 34	Session 1	34	-59.3235	-23.3140	79.8034	2021-08-24	10:31:04.935	TTL1	0.0000	1	14.9992	60.0002	10.2615
Sample 35	Session 1	35	-59.0187	-15.7017	78.3324	2021-08-24	10:31:10.745	TTL1	0.0000	1	14.9992	60.0002	25.0836
Sample 36	Session 1	36	-63.7787	-25.5343	75.2254	2021-08-24	10:31:18.565	TTL1	0.0000	1	14.9992	60.0002	11.4017
Sample 37	Session 1	37	-51.0563	-35.3896	87.3111	2021-08-24	10:31:26.024	TTL1	0.0000	1	14.9992	60.0002	9.1213
Sample 38	Session 1	38	-56.2724	-15.5640	80.0482	2021-08-24	10:32:04.883	TTL1	0.0000	1	14.9992	60.0002	84.3721
Sample 39	Session 1	39	-53.6906	-14.2550	81.8308	2021-08-24	10:32:10.692	TTL1	0.0000	1	14.9992	60.0002	21.6631
Sample 40	Session 1	40	-49.8108	-13.5024	86.5400	2021-08-24	10:32:16.646	TTL1	0.0000	1	14.9992	60.0002	13.6820
