# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK	-55.9932	-7.1452	86.8090
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-65.7573	-2.3746	97.1672	2021-10-13	09:37:47.651	TTL1	0.0000	1	15.0008	60.0593	4.5605
Sample 2	Session 2	2	-66.3563	-3.1410	96.3907	2021-10-13	09:38:15.082	TTL1	0.0000	1	15.0008	60.0593	3.4204
Sample 3	Session 2	3	-64.7711	-8.3725	97.0026	2021-10-13	09:38:34.502	TTL1	0.0000	1	15.0008	60.0593	4.5607
Sample 4	Session 2	4	-64.5420	-7.8437	95.9313	2021-10-13	09:38:44.426	TTL1	0.0000	1	15.0008	60.0593	5.7008
Sample 5	Session 2	5	-65.1097	-7.6860	95.0302	2021-10-13	09:38:59.143	TTL1	0.0000	1	15.0008	60.0593	4.5607
Sample 6	Session 2	6	-64.6032	-2.7976	95.5254	2021-10-13	09:39:19.730	TTL1	0.0000	1	15.0008	60.0593	4.5607
Sample 7	Session 2	7	-63.5702	-3.9937	94.1705	2021-10-13	09:39:25.033	TTL1	0.0000	1	15.0008	60.0593	5.7008
Sample 8	Session 2	8	-59.9694	-1.7932	95.7128	2021-10-13	09:39:29.440	TTL1	0.0000	1	15.0008	60.0593	25.0836
Sample 9	Session 2	9	-59.4075	0.9234	95.6982	2021-10-13	09:39:35.846	TTL1	0.0000	1	15.0008	60.0593	3.4204
Sample 10	Session 2	10	-59.3474	3.5674	94.1072	2021-10-13	09:39:41.753	TTL1	0.0000	1	15.0008	60.0593	3.4204
Sample 11	Session 2	11	-63.1481	2.5388	90.3184	2021-10-13	09:39:47.409	TTL1	0.0000	1	15.0008	60.0593	4.5605
Sample 12	Session 2	12	-61.5430	-1.6056	95.4405	2021-10-13	09:40:34.730	TTL1	0.0000	1	15.0008	60.0593	10.2615
Sample 13	Session 2	13	-61.0690	0.0533	95.1729	2021-10-13	09:40:40.036	TTL1	0.0000	1	15.0008	60.0593	6.8409
Sample 14	Session 2	14	-61.5448	-2.5654	95.5856	2021-10-13	09:40:45.901	TTL1	0.0000	1	15.0008	60.0593	6.8409
Sample 15	Session 2	15	-60.2265	-3.0361	97.7074	2021-10-13	09:40:52.101	TTL1	0.0000	1	15.0008	60.0593	5.7008
Sample 16	Session 2	16	-56.7165	-4.2837	100.6912	2021-10-13	09:40:57.009	TTL1	0.0000	1	15.0008	60.0593	4.5607
Sample 17	Session 2	17	-59.8065	-0.4391	96.7151	2021-10-13	09:41:12.834	TTL1	0.0000	1	15.0008	60.0593	4.5607
Sample 18	Session 2	18	-60.5036	-5.4298	96.7382	2021-10-13	09:41:17.647	TTL1	0.0000	1	15.0008	60.0593	27.3639
Sample 19	Session 2	19	-60.2968	-6.3618	97.2351	2021-10-13	09:41:24.962	TTL1	0.0000	1	15.0008	60.0593	20.5229
Sample 20	Session 2	20	-61.0894	-6.9299	97.0739	2021-10-13	09:41:29.710	TTL1	0.0000	1	15.0008	60.0593	3.4204
