# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 10	-51.3009	-11.6681	80.4334
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1	EMG Peak-to-peak 2
Sample 1	Session 1	1	-59.0220	-12.1993	82.4755	2021-10-28	10:49:21.313	TTL1	0.0000	2	14.9974	59.9987	4.5607	22.8143
Sample 2	Session 1	2	-61.1609	-14.0642	81.3055	2021-10-28	10:49:55.205	TTL1	0.0000	2	14.9974	59.9987	4.5607	23.9550
Sample 3	Session 1	3	-60.9602	-9.2804	80.0188	2021-10-28	10:49:59.611	TTL1	0.0000	2	14.9974	59.9987	4.5607	22.8143
Sample 4	Session 1	4	-55.3859	-14.7613	86.4005	2021-10-28	10:50:03.975	TTL1	0.0000	2	14.9974	59.9987	5.7008	23.9550
Sample 5	Session 1	5	-58.3808	-10.3510	82.7186	2021-10-28	10:50:18.040	TTL1	0.0000	2	14.9974	59.9987	4.5607	22.8143
Sample 6	Session 1	6	-59.4380	-12.2138	81.7549	2021-10-28	10:50:39.274	TTL1	0.0000	2	14.9974	59.9987	4.5607	22.8143
Sample 7	Session 1	7	-57.1260	-4.9458	81.6004	2021-10-28	10:50:42.084	TTL1	0.0000	2	14.9974	59.9987	5.7008	23.9550
Sample 8	Session 1	8	-57.0807	-4.9144	81.6702	2021-10-28	10:50:45.143	TTL1	0.0000	2	14.9974	59.9987	5.7008	25.0957
Sample 9	Session 1	9	-58.9228	-7.1885	80.6212	2021-10-28	10:50:49.344	TTL1	0.0000	2	14.9974	59.9987	4.5607	23.9550
Sample 10	Session 1	10	-59.1937	-5.4129	79.7595	2021-10-28	10:50:55.097	TTL1	0.0000	2	14.9974	59.9987	5.7008	25.0957
Sample 11	Session 1	11	-55.8137	-14.1464	85.9559	2021-10-28	10:50:59.451	TTL1	0.0000	2	14.9974	59.9987	5.7008	23.9550
