# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 10	-51.3009	-11.6681	80.4334
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-48.4020	-0.2683	78.5874	2021-11-02	10:54:05.876	TTL1	0.0000	1	15.0030	60.0001	6.8411
Sample 2	Session 2	2	-48.6606	-0.1653	81.3739	2021-11-02	10:54:37.163	TTL1	0.0000	1	15.0030	60.0001	5.7008
Sample 3	Session 2	3	-49.8324	1.7766	78.8267	2021-11-02	10:54:43.182	TTL1	0.0000	1	15.0030	60.0001	6.8411
Sample 4	Session 2	4	-46.9366	-6.7315	82.5979	2021-11-02	10:54:49.830	TTL1	0.0000	1	15.0030	60.0001	6.8409
Sample 5	Session 2	5	-48.1244	-0.0226	79.1149	2021-11-02	10:55:05.902	TTL1	0.0000	1	15.0030	60.0001	5.7008
Sample 6	Session 2	6	-49.7055	0.9383	79.3657	2021-11-02	10:55:40.210	TTL1	0.0000	1	15.0030	60.0001	7.9812
Sample 7	Session 2	7	-46.6866	0.4331	81.6737	2021-11-02	10:55:44.464	TTL1	0.0000	1	15.0030	60.0001	6.8411
Sample 8	Session 2	8	-48.3024	5.9099	79.6245	2021-11-02	10:55:51.576	TTL1	0.0000	1	15.0030	60.0001	6.8409
Sample 9	Session 2	9	-56.4724	2.0710	73.5553	2021-11-02	10:55:58.735	TTL1	0.0000	1	15.0030	60.0001	6.8409
Sample 10	Session 2	10	-51.3009	-11.6681	80.4334	2021-11-02	10:56:02.893	TTL1	0.0000	1	15.0030	60.0001	34.2050
Sample 11	Session 2	11	-51.2780	-11.4092	80.0915	2021-11-02	10:56:08.747	TTL1	0.0000	1	15.0030	60.0001	7.9812
Sample 12	Session 2	12	-48.8799	-9.8492	81.6681	2021-11-02	10:56:13.407	TTL1	0.0000	1	15.0030	60.0001	7.9811
Sample 13	Session 2	13	-51.3250	-18.0913	81.7841	2021-11-02	10:56:17.772	TTL1	0.0000	1	15.0030	60.0001	7.9812
Sample 14	Session 2	14	-52.8311	-2.5507	76.4206	2021-11-02	10:56:22.469	TTL1	0.0000	1	15.0030	60.0001	6.8411
Sample 15	Session 2	15	-47.8714	-11.1825	82.8689	2021-11-02	10:56:32.431	TTL1	0.0000	1	15.0030	60.0001	7.9811
Sample 16	Session 2	16	-52.0377	-11.2829	79.4405	2021-11-02	10:57:06.589	TTL1	0.0000	1	15.0030	60.0001	9.1213
Sample 17	Session 2	17	-47.6112	-12.0630	83.3323	2021-11-02	10:57:12.252	TTL1	0.0000	1	15.0030	60.0001	9.1212
Sample 18	Session 2	18	-52.5847	-10.5136	78.8450	2021-11-02	10:57:20.005	TTL1	0.0000	1	15.0030	60.0001	7.9812
Sample 19	Session 2	19	-54.3739	-10.6530	77.8791	2021-11-02	10:57:25.565	TTL1	0.0000	1	15.0030	60.0001	9.1213
Sample 20	Session 2	20	-54.4333	-10.5381	77.4845	2021-11-02	10:57:29.168	TTL1	0.0000	1	15.0030	60.0001	6.8409
Sample 21	Session 2	21	-51.2466	-9.8520	79.6027	2021-11-02	10:57:33.630	TTL1	0.0000	1	15.0030	60.0001	9.1213
Sample 22	Session 2	22	-51.5762	-16.0933	81.2300	2021-11-02	10:57:37.385	TTL1	0.0000	1	15.0030	60.0001	7.9812
Sample 23	Session 2	23	-51.8003	-12.0208	80.2670	2021-11-02	10:57:49.549	TTL1	0.0000	1	15.0030	60.0001	28.5042
Sample 24	Session 2	24	-52.0814	-9.3591	79.0796	2021-11-02	10:57:54.750	TTL1	0.0000	1	15.0030	60.0001	10.2615
Sample 25	Session 2	25	-52.9740	-12.9977	79.2537	2021-11-02	10:58:02.163	TTL1	0.0000	1	15.0030	60.0001	9.1212
Sample 26	Session 2	26	-55.5256	-12.4867	76.3204	2021-11-02	10:58:09.572	TTL1	0.0000	1	15.0030	60.0001	37.6255
