# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_Session1	-59.5601	-13.4128	83.2844
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-60.9876	-10.7988	82.6743	2021-11-16	10:16:51.936	TTL1	0.0000	1	14.9737	59.9957	5.7008
Sample 2	Session 2	2	-60.8605	-12.8896	83.6854	2021-11-16	10:17:28.839	TTL1	0.0000	1	14.9737	59.9957	120.8573
Sample 3	Session 2	3	-59.8443	-12.8613	84.2687	2021-11-16	10:17:36.452	TTL1	0.0000	1	14.9737	59.9957	4.5607
Sample 4	Session 2	4	-61.1567	-12.4129	82.9586	2021-11-16	10:18:02.142	TTL1	0.0000	1	14.9737	59.9957	4.5607
Sample 5	Session 2	5	-59.8711	-12.5217	83.8770	2021-11-16	10:18:09.307	TTL1	0.0000	1	14.9737	59.9957	6.8409
Sample 6	Session 2	6	-59.9805	-14.6990	83.7079	2021-11-16	10:18:12.803	TTL1	0.0000	1	14.9737	59.9957	6.8409
Sample 7	Session 2	7	-60.5558	-11.8055	82.6019	2021-11-16	10:18:20.324	TTL1	0.0000	1	14.9737	59.9957	4.5607
Sample 8	Session 2	8	-61.4782	-13.4550	82.1798	2021-11-16	10:18:35.545	TTL1	0.0000	1	14.9737	59.9957	19.3828
Sample 9	Session 2	9	-61.1270	-13.7872	83.5326	2021-11-16	10:18:55.969	TTL1	0.0000	1	14.9737	59.9957	28.5042
Sample 10	Session 2	10	-58.0079	-15.8858	85.2063	2021-11-16	10:19:01.778	TTL1	0.0000	1	14.9737	59.9957	6.8409
Sample 11	Session 2	11	-62.2845	-14.7800	81.7130	2021-11-16	10:19:07.136	TTL1	0.0000	1	14.9737	59.9957	4.5607
Sample 12	Session 2	12	-56.3773	-21.1423	87.1306	2021-11-16	10:19:14.150	TTL1	0.0000	1	14.9737	59.9957	7.9812
Sample 13	Session 2	13	-57.3958	-15.0908	85.4044	2021-11-16	10:19:19.147	TTL1	0.0000	1	14.9737	59.9957	17.1025
Sample 14	Session 2	14	-62.4709	-13.1838	81.2533	2021-11-16	10:19:24.608	TTL1	0.0000	1	14.9737	59.9957	6.8409
Sample 15	Session 2	15	-53.6549	-16.7978	87.5841	2021-11-16	10:19:29.972	TTL1	0.0000	1	14.9737	59.9957	7.9812
Sample 16	Session 2	16	-57.5476	-9.1658	83.4877	2021-11-16	10:19:37.278	TTL1	0.0000	1	14.9737	59.9957	28.5042
HK_Session2	Session 2	17	-58.6381	-9.6792	83.0404	2021-11-16	10:19:42.438	TTL1	0.0000	1	14.9737	59.9957	72.9705
Sample 18	Session 2	18	-58.7205	-9.6297	82.9172	2021-11-16	10:19:49.847	TTL1	0.0000	1	14.9737	59.9957	26.2238
Sample 19	Session 2	19	-59.5097	-9.3594	81.5465	2021-11-16	10:19:55.653	TTL1	0.0000	1	14.9737	59.9957	55.8680
Sample 20	Session 2	20	-59.7434	-9.8267	81.6814	2021-11-16	10:19:59.860	TTL1	0.0000	1	14.9737	59.9957	33.0648
Sample 21	Session 2	21	-59.6514	-9.7989	81.7467	2021-11-16	10:20:05.016	TTL1	0.0000	1	14.9737	59.9957	6.8411
Sample 22	Session 2	22	-60.0200	-9.8467	81.0091	2021-11-16	10:20:10.280	TTL1	0.0000	1	14.9737	59.9957	18.2426
