# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 15	-59.2306	-8.3757	82.4188
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-59.0579	-13.0829	84.2096	2021-12-16	10:33:20.357	TTL1	0.0000	1	15.0018	59.9976	31.9246
Sample 2	Session 1	2	-59.3306	-12.7688	84.0376	2021-12-16	10:33:25.915	TTL1	0.0000	1	15.0018	59.9976	41.0458
Sample 3	Session 1	3	-59.8142	-13.5020	83.6371	2021-12-16	10:33:35.574	TTL1	0.0000	1	15.0018	59.9976	15.9623
Sample 4	Session 1	4	-53.9100	-13.0110	87.3792	2021-12-16	10:33:44.388	TTL1	0.0000	1	15.0018	59.9976	10.2615
Sample 5	Session 1	5	-52.1619	-9.8662	88.0299	2021-12-16	10:33:51.643	TTL1	0.0000	1	15.0018	59.9976	18.2427
Sample 6	Session 1	6	-51.3099	-10.6431	88.6113	2021-12-16	10:34:00.067	TTL1	0.0000	1	15.0018	59.9976	22.8033
Sample 7	Session 1	7	-44.6950	-11.9341	93.2356	2021-12-16	10:34:04.569	TTL1	0.0000	1	15.0018	59.9976	21.6631
Sample 8	Session 1	8	-47.3765	-13.9508	94.1874	2021-12-16	10:34:18.493	TTL1	0.0000	1	15.0018	59.9976	12.5419
Sample 9	Session 1	9	-43.4715	-17.3698	95.8877	2021-12-16	10:34:28.600	TTL1	0.0000	1	15.0018	59.9976	14.8221
Sample 10	Session 1	10	-48.1756	-13.1317	91.4134	2021-12-16	10:34:56.348	TTL1	0.0000	1	15.0018	59.9976	28.5040
Sample 11	Session 1	11	-59.7033	-14.3062	83.1341	2021-12-16	10:35:26.588	TTL1	0.0000	1	15.0018	59.9976	29.6443
Sample 12	Session 1	12	-60.7748	-10.2387	81.6490	2021-12-16	10:35:30.689	TTL1	0.0000	1	15.0018	59.9976	21.6631
Sample 13	Session 1	13	-61.2129	-8.7725	81.0832	2021-12-16	10:35:33.801	TTL1	0.0000	1	15.0018	59.9976	30.7844
Sample 14	Session 1	14	-61.7958	-10.9857	80.6816	2021-12-16	10:35:44.362	TTL1	0.0000	1	15.0018	59.9976	29.6442
