# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-61.9028	-12.0952	86.5533	2022-03-30	10:26:18.669	TTL1	0.0000	1	15.0028	60.0003	15.9623
Sample 2	Session 1	2	-41.5790	-6.1317	96.6686	2022-03-30	10:26:28.481	TTL1	0.0000	1	15.0028	60.0003	7.9811
Sample 3	Session 1	3	-50.3101	-2.5509	89.6417	2022-03-30	10:26:33.288	TTL1	0.0000	1	15.0028	60.0003	20.5229
Sample 4	Session 1	4	-50.4644	-3.0825	89.3955	2022-03-30	10:26:38.103	TTL1	0.0000	1	15.0028	60.0003	13.6820
Sample 5	Session 1	5	-50.5444	-2.3990	89.4683	2022-03-30	10:26:49.864	TTL1	0.0000	1	15.0028	60.0003	35.3451
TARGET	Session 1	6	-50.4917	-2.0768	89.1046	2022-03-30	10:26:55.472	TTL1	0.0000	1	15.0028	60.0003	47.8869
Sample 7	Session 1	7	-52.4396	-3.2602	88.1974	2022-03-30	10:27:22.918	TTL1	0.0000	1	15.0028	60.0003	150.5016
Sample 8	Session 1	8	-53.1676	-2.9461	88.6612	2022-03-30	10:29:07.816	TTL1	0.0000	1	15.0028	60.0003	29.6442
Sample 9	Session 1	9	-51.7800	-3.2915	89.3473	2022-03-30	10:29:19.537	TTL1	0.0000	1	15.0028	60.0003	161.9032
Sample 10	Session 1	10	-52.5055	-2.8176	88.7665	2022-03-30	10:29:28.705	TTL1	0.0000	1	15.0028	60.0003	27.3639
Sample 11	Session 1	11	-51.4689	-2.3595	88.9370	2022-03-30	10:29:41.971	TTL1	0.0000	1	15.0028	60.0003	193.8278
Sample 12	Session 1	12	-53.3801	-3.0723	88.4549	2022-03-30	10:29:56.536	TTL1	0.0000	1	15.0028	60.0003	49.0270
Sample 13	Session 1	13	-53.2674	-2.6530	88.1820	2022-03-30	10:30:18.729	TTL1	0.0000	1	15.0028	60.0003	18.2426
Sample 14	Session 1	14	-52.8502	-3.0450	88.5499	2022-03-30	10:30:27.336	TTL1	0.0000	1	15.0028	60.0003	18.2426
Sample 15	Session 1	15	-52.6916	-2.9110	88.8741	2022-03-30	10:30:35.547	TTL1	0.0000	1	15.0028	60.0003	44.4664
Sample 16	Session 1	16	-52.7686	-3.1269	89.0436	2022-03-30	10:30:42.914	TTL1	0.0000	1	15.0028	60.0003	63.8492
Sample 17	Session 1	17	-53.5094	-2.9167	89.0946	2022-03-30	10:30:49.370	TTL1	0.0000	1	15.0028	60.0003	41.0459
FIRST_MEP	Session 1	18	-52.6899	-0.9913	88.7962	2022-03-30	10:32:52.000	TTL1	0.0000	1	15.0028	60.0003	204.0893
Sample 19	Session 1	19	-52.8492	-0.2819	88.5901	2022-03-30	10:32:55.355	TTL1	0.0000	1	15.0028	60.0003	149.3614
Sample 20	Session 1	20	-52.9447	-0.0803	88.3138	2022-03-30	10:32:58.157	TTL1	0.0000	1	15.0028	60.0003	98.0541
Sample 21	Session 1	21	-52.5465	-1.3893	88.8562	2022-03-30	10:33:02.417	TTL1	0.0000	1	15.0028	60.0003	145.9409
Sample 22	Session 1	22	-52.9577	-0.9872	88.4273	2022-03-30	10:33:05.816	TTL1	0.0000	1	15.0028	60.0003	118.5770
Sample 23	Session 1	23	-52.4852	-0.6940	88.4321	2022-03-30	10:33:09.480	TTL1	0.0000	1	15.0028	60.0003	112.8762
Sample 24	Session 1	24	-52.4875	-0.5691	88.5278	2022-03-30	10:33:13.030	TTL1	0.0000	1	15.0028	60.0003	110.5959
Sample 25	Session 1	25	-51.5178	-1.1742	88.7152	2022-03-30	10:33:17.137	TTL1	0.0000	1	15.0028	60.0003	167.6040
