# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 4	-56.1984	-8.8263	82.9102
#Sample 6	-53.6129	-8.1019	84.5976
#Sample 16	-51.5990	-7.4000	85.4677
#HK_Session1	-51.5990	-7.4000	85.4677
#Sample 3	-48.3295	-7.6001	83.9983
#HK_Session2	-48.3295	-7.6001	83.9983
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-50.8820	-8.2236	83.3297	2022-05-03	10:15:44.381	TTL1	0.0000	1	10.0000	90.0000	82.0918
Sample 2	Session 2	2	-51.9244	-9.6155	82.3229	2022-05-03	10:16:26.451	TTL1	0.0000	1	10.0000	90.0000	126.5581
HK_Session2	Session 2	3	-48.3295	-7.6001	83.9983	2022-05-03	10:16:33.651	TTL1	0.0000	1	10.0000	90.0000	179.0057
Sample 4	Session 2	4	-46.4165	-3.7172	84.9970	2022-05-03	10:16:41.362	TTL1	0.0000	1	10.0000	90.0000	52.4475
Sample 5	Session 2	5	-44.9287	-8.9389	87.4153	2022-05-03	10:16:46.870	TTL1	0.0000	1	10.0000	90.0000	53.5877
Sample 6	Session 2	6	-41.8985	-12.3419	90.1208	2022-05-03	10:16:51.234	TTL1	0.0000	1	10.0000	90.0000	60.4287
Sample 7	Session 2	7	-43.3933	1.9038	83.6528	2022-05-03	10:16:55.832	TTL1	0.0000	1	10.0000	90.0000	63.8492
Sample 8	Session 2	8	-40.7701	4.6721	84.5268	2022-05-03	10:16:59.747	TTL1	0.0000	1	10.0000	90.0000	66.1295
Sample 9	Session 2	9	-50.6038	-9.2877	84.2427	2022-05-03	10:17:41.352	TTL1	0.0000	1	10.0000	90.0000	792.4136
Sample 10	Session 2	10	-49.1296	-6.8539	83.5608	2022-05-03	10:19:47.287	TTL1	0.0000	1	10.0000	90.0000	59.2885
Sample 11	Session 2	11	-48.4330	-8.0110	84.8282	2022-05-03	10:20:01.564	TTL1	0.0000	1	10.0000	90.0000	205.2294
Sample 12	Session 2	12	-49.2342	-7.9481	84.5408	2022-05-03	10:20:14.978	TTL1	0.0000	1	10.0000	90.0000	7.9811
Sample 13	Session 2	13	-48.8278	-7.6979	84.9331	2022-05-03	10:20:25.691	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 14	Session 2	14	-49.3139	-8.0775	84.7951	2022-05-03	10:20:36.613	TTL1	0.0000	1	10.0000	90.0000	17.1025
Sample 15	Session 2	15	-48.5038	-7.8407	85.2250	2022-05-03	10:20:48.282	TTL1	0.0000	1	10.0000	90.0000	121.9975
Sample 16	Session 2	16	-48.9655	-8.3972	84.9633	2022-05-03	10:20:57.638	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 17	Session 2	17	-48.2766	-7.4296	84.8308	2022-05-03	10:21:18.622	TTL1	0.0000	1	10.0000	90.0000	180.1458
Sample 18	Session 2	18	-48.2091	-7.5996	84.7398	2022-05-03	10:21:28.137	TTL1	0.0000	1	10.0000	90.0000	11.4016
