# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 13	-58.7999	-14.8776	82.5128
#Sample 25	-53.9128	4.3564	77.8199
#Sample 32	-54.4098	3.7700	76.2243
#HK_Session1	-54.4098	3.7700	76.2243
#HK_Session1_USE	-54.9769	3.6845	76.3626
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	0.0000	-18.0000	18.0000	2022-05-18	09:54:38.330	TTL1	0.0000	1	10.0000	90.0000	5.7008
Sample 2	Session 1	2	-60.5444	-12.7993	81.3035	2022-05-18	09:55:57.183	TTL1	0.0000	1	10.0000	90.0000	84.3721
Sample 3	Session 1	3	-59.7204	-6.9450	81.3108	2022-05-18	09:56:05.847	TTL1	0.0000	1	10.0000	90.0000	28.5041
Sample 4	Session 1	4	-47.4757	-7.8094	90.6917	2022-05-18	09:56:13.104	TTL1	0.0000	1	10.0000	90.0000	33.0647
Sample 5	Session 1	5	-58.2761	-3.9397	80.5160	2022-05-18	09:56:19.024	TTL1	0.0000	1	10.0000	90.0000	29.6442
Sample 6	Session 1	6	-63.4371	1.0358	74.8144	2022-05-18	09:56:27.281	TTL1	0.0000	1	10.0000	90.0000	22.8033
Sample 7	Session 1	7	-61.5700	-11.4923	80.8258	2022-05-18	09:57:21.210	TTL1	0.0000	1	10.0000	90.0000	15.9623
Sample 8	Session 1	8	-58.7086	-11.4161	82.7383	2022-05-18	09:57:26.363	TTL1	0.0000	1	10.0000	90.0000	25.0836
Sample 9	Session 1	9	-62.6588	-12.3554	79.1357	2022-05-18	09:57:35.622	TTL1	0.0000	1	10.0000	90.0000	21.6631
Sample 10	Session 1	10	-65.0613	-6.4937	74.0850	2022-05-18	09:57:39.631	TTL1	0.0000	1	10.0000	90.0000	26.2238
Sample 11	Session 1	11	-61.5567	-12.3292	79.2665	2022-05-18	09:57:44.936	TTL1	0.0000	1	10.0000	90.0000	25.0836
Sample 12	Session 1	12	-61.3927	-11.3163	78.2745	2022-05-18	09:57:50.405	TTL1	0.0000	1	10.0000	90.0000	31.9246
Sample 13	Session 1	13	-58.7999	-14.8776	82.5128	2022-05-18	09:58:15.533	TTL1	0.0000	1	10.0000	90.0000	209.7901
Sample 14	Session 1	14	-59.7744	-15.4958	79.8140	2022-05-18	09:59:27.490	TTL1	0.0000	1	10.0000	90.0000	37.6254
Sample 15	Session 1	15	-57.9548	-15.5316	81.0439	2022-05-18	09:59:35.451	TTL1	0.0000	1	10.0000	90.0000	62.7090
Sample 16	Session 1	16	-57.9699	-15.4651	81.1151	2022-05-18	09:59:35.548	TTL1	0.0000	1	10.0000	90.0000	55.8680
Sample 17	Session 1	17	-59.4508	-15.3134	79.8209	2022-05-18	09:59:41.008	TTL1	0.0000	1	10.0000	90.0000	100.3344
Sample 18	Session 1	18	-59.4834	-15.2037	79.7012	2022-05-18	09:59:46.568	TTL1	0.0000	1	10.0000	90.0000	64.9893
Sample 19	Session 1	19	-60.5673	-15.9511	79.8569	2022-05-18	09:59:53.670	TTL1	0.0000	1	10.0000	90.0000	67.2696
Sample 20	Session 1	20	-59.7783	-14.8834	79.6661	2022-05-18	10:00:07.446	TTL1	0.0000	1	10.0000	90.0000	91.2131
Sample 21	Session 1	21	-60.6826	16.2619	67.8078	2022-05-18	10:00:23.774	TTL1	0.0000	1	10.0000	90.0000	30.7844
Sample 22	Session 1	22	-55.1422	11.4461	75.1338	2022-05-18	10:00:29.929	TTL1	0.0000	1	10.0000	90.0000	43.3262
Sample 23	Session 1	23	-54.2865	11.1784	73.6891	2022-05-18	10:00:36.187	TTL1	0.0000	1	10.0000	90.0000	57.0082
Sample 24	Session 1	24	-53.4432	4.1359	78.3742	2022-05-18	10:00:45.844	TTL1	0.0000	1	10.0000	90.0000	59.2885
Sample 25	Session 1	25	-53.9128	4.3564	77.8199	2022-05-18	10:00:51.102	TTL1	0.0000	1	10.0000	90.0000	128.8385
Sample 26	Session 1	26	-54.1588	2.9327	75.9070	2022-05-18	10:01:18.653	TTL1	0.0000	1	10.0000	90.0000	42.1860
Sample 27	Session 1	27	-54.8115	3.6045	75.4790	2022-05-18	10:01:35.925	TTL1	0.0000	1	10.0000	90.0000	43.3262
Sample 28	Session 1	28	-54.0829	3.4267	75.9823	2022-05-18	10:01:42.386	TTL1	0.0000	1	10.0000	90.0000	86.6524
Sample 29	Session 1	29	-54.3674	3.2873	75.9612	2022-05-18	10:01:49.143	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 30	Session 1	30	-53.9478	3.7032	76.1887	2022-05-18	10:02:01.209	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 31	Session 1	31	-53.9446	3.6987	76.0254	2022-05-18	10:02:07.574	TTL1	0.0000	1	10.0000	90.0000	44.4664
HK_Session1	Session 1	32	-54.4098	3.7700	76.2243	2022-05-18	10:02:29.203	TTL1	0.0000	1	10.0000	90.0000	118.5770
Sample 33	Session 1	33	-53.5743	3.6678	76.5635	2022-05-18	10:02:37.765	TTL1	0.0000	1	10.0000	90.0000	145.9409
Sample 34	Session 1	34	-55.5532	4.1578	76.5277	2022-05-18	10:04:45.844	TTL1	0.0000	1	10.0000	90.0000	78.6713
Sample 35	Session 1	35	-56.5805	4.6385	75.2079	2022-05-18	10:05:14.241	TTL1	0.0000	1	10.0000	90.0000	21.6631
Sample 36	Session 1	36	-55.7231	3.8306	76.8079	2022-05-18	10:05:38.667	TTL1	0.0000	1	10.0000	90.0000	51.3074
Sample 37	Session 1	37	-55.3569	4.0407	77.2294	2022-05-18	10:05:48.737	TTL1	0.0000	1	10.0000	90.0000	95.7737
Sample 38	Session 1	38	-55.0666	3.1904	77.2437	2022-05-18	10:06:08.368	TTL1	0.0000	1	10.0000	90.0000	41.0459
Sample 39	Session 1	39	-55.6890	3.9076	76.7091	2022-05-18	10:06:35.200	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 40	Session 1	40	-55.6588	3.5974	76.5584	2022-05-18	10:06:43.258	TTL1	0.0000	1	10.0000	90.0000	42.1861
Sample 41	Session 1	41	-57.4302	4.6614	75.1856	2022-05-18	10:07:15.156	TTL1	0.0000	1	10.0000	90.0000	75.2508
Sample 42	Session 1	42	-54.9286	3.2496	77.1627	2022-05-18	10:07:23.476	TTL1	0.0000	1	10.0000	90.0000	90.0729
Sample 43	Session 1	43	-55.4817	3.7105	75.7816	2022-05-18	10:07:36.887	TTL1	0.0000	1	10.0000	90.0000	91.2131
Sample 44	Session 1	44	-55.9818	3.7719	75.6728	2022-05-18	10:08:02.730	TTL1	0.0000	1	10.0000	90.0000	78.6713
Sample 45	Session 1	45	-55.6354	4.0905	75.8924	2022-05-18	10:08:12.244	TTL1	0.0000	1	10.0000	90.0000	84.3721
HK_Session1_USE	Session 1	46	-54.9769	3.6845	76.3626	2022-05-18	10:08:18.403	TTL1	0.0000	1	10.0000	90.0000	114.0163
Sample 47	Session 1	47	-55.8833	3.6100	76.1036	2022-05-18	10:08:43.036	TTL1	0.0000	1	10.0000	90.0000	67.2696
MEP Start	Session 1	48	-55.7950	3.3633	76.2868	2022-05-18	10:11:03.437	TTL1	0.0000	1	10.0000	90.0000	351.1703
Sample 49	Session 1	49	-55.6956	4.0652	76.0931	2022-05-18	10:11:28.069	TTL1	0.0000	1	10.0000	90.0000	216.6311
Sample 50	Session 1	50	-55.4131	3.8979	76.5576	2022-05-18	10:11:34.781	TTL1	0.0000	1	10.0000	90.0000	221.1917
Sample 51	Session 1	51	-55.5719	3.8835	76.4116	2022-05-18	10:11:40.093	TTL1	0.0000	1	10.0000	90.0000	182.4261
Sample 52	Session 1	52	-55.7095	4.0779	76.3676	2022-05-18	10:11:46.094	TTL1	0.0000	1	10.0000	90.0000	209.7901
Sample 53	Session 1	53	-55.6308	4.0306	76.2806	2022-05-18	10:11:53.106	TTL1	0.0000	1	10.0000	90.0000	145.9409
Sample 54	Session 1	54	-55.7253	3.6964	76.3592	2022-05-18	10:11:57.869	TTL1	0.0000	1	10.0000	90.0000	216.6311
Sample 55	Session 1	55	-55.8733	3.9090	76.4110	2022-05-18	10:12:03.970	TTL1	0.0000	1	10.0000	90.0000	127.6983
Sample 56	Session 1	56	-55.9802	3.8109	76.3119	2022-05-18	10:12:10.030	TTL1	0.0000	1	10.0000	90.0000	190.4073
Sample 57	Session 1	57	-55.6487	4.2454	76.7213	2022-05-18	10:12:16.889	TTL1	0.0000	1	10.0000	90.0000	157.3426
Sample 58	Session 1	58	-55.7259	4.1418	76.6367	2022-05-18	10:12:20.791	TTL1	0.0000	1	10.0000	90.0000	115.1565
Sample 59	Session 1	59	-55.8219	4.1195	76.4792	2022-05-18	10:12:26.108	TTL1	0.0000	1	10.0000	90.0000	104.8950
Sample 60	Session 1	60	-55.8011	3.9465	76.3442	2022-05-18	10:12:31.262	TTL1	0.0000	1	10.0000	90.0000	102.6147
Sample 61	Session 1	61	-56.1096	4.0874	76.6499	2022-05-18	10:12:36.624	TTL1	0.0000	1	10.0000	90.0000	149.3614
Sample 62	Session 1	62	-55.9658	3.7080	76.1451	2022-05-18	10:12:42.082	TTL1	0.0000	1	10.0000	90.0000	100.3344
Sample 63	Session 1	63	-55.7576	3.7009	76.2956	2022-05-18	10:12:47.132	TTL1	0.0000	1	10.0000	90.0000	416.1597
Sample 64	Session 1	64	-55.8089	3.8828	76.2657	2022-05-18	10:12:53.351	TTL1	0.0000	1	10.0000	90.0000	85.5123
Sample 65	Session 1	65	-55.6059	3.9076	76.1083	2022-05-18	10:12:59.695	TTL1	0.0000	1	10.0000	90.0000	106.0352
Sample 66	Session 1	66	-55.8072	3.6517	76.3953	2022-05-18	10:13:05.862	TTL1	0.0000	1	10.0000	90.0000	108.3155
MEP End	Session 1	67	-55.7488	3.8924	76.4265	2022-05-18	10:13:12.268	TTL1	0.0000	1	10.0000	90.0000	133.3991
ICF Start	Session 1	68	-56.7115	3.4137	76.4473	2022-05-18	10:17:10.103	TTL1	0.0000	1	10.0000	90.0000	183.5663
Sample 69	Session 1	69	-57.3559	4.3726	75.6807	2022-05-18	10:17:20.187	TTL1	0.0000	1	10.0000	90.0000	166.4639
Sample 70	Session 1	70	-57.2574	3.8752	76.7804	2022-05-18	10:17:30.217	TTL1	0.0000	1	10.0000	90.0000	62.7090
Sample 71	Session 1	71	-56.8287	3.8590	77.2172	2022-05-18	10:17:40.295	TTL1	0.0000	1	10.0000	90.0000	222.3319
Sample 72	Session 1	72	-56.1917	4.2515	76.7424	2022-05-18	10:17:50.334	TTL1	0.0000	1	10.0000	90.0000	79.8114
Sample 73	Session 1	73	-56.3835	4.2177	76.6854	2022-05-18	10:18:00.399	TTL1	0.0000	1	10.0000	90.0000	242.8548
Sample 74	Session 1	74	-56.0291	4.4516	76.5917	2022-05-18	10:18:10.451	TTL1	0.0000	1	10.0000	90.0000	55.8680
Sample 75	Session 1	75	-56.2302	4.6078	76.6981	2022-05-18	10:18:20.524	TTL1	0.0000	1	10.0000	90.0000	189.2671
Sample 76	Session 1	76	-56.4643	4.4707	77.1285	2022-05-18	10:18:30.553	TTL1	0.0000	1	10.0000	90.0000	180.1458
Sample 77	Session 1	77	-55.6631	4.2685	76.6999	2022-05-18	10:18:40.635	TTL1	0.0000	1	10.0000	90.0000	199.5286
Sample 78	Session 1	78	-55.7798	4.2124	76.8033	2022-05-18	10:18:50.673	TTL1	0.0000	1	10.0000	90.0000	173.3049
Sample 79	Session 1	79	-55.8503	4.2215	76.8953	2022-05-18	10:19:00.747	TTL1	0.0000	1	10.0000	90.0000	225.7524
Sample 80	Session 1	80	-56.0247	4.4950	77.1980	2022-05-18	10:19:10.777	TTL1	0.0000	1	10.0000	90.0000	231.4532
Sample 81	Session 1	81	-55.5628	4.3258	76.7677	2022-05-18	10:19:20.843	TTL1	0.0000	1	10.0000	90.0000	123.1377
Sample 82	Session 1	82	-55.7890	4.1128	76.5644	2022-05-18	10:19:30.880	TTL1	0.0000	1	10.0000	90.0000	263.3777
Sample 83	Session 1	83	-56.2215	4.6221	77.3296	2022-05-18	10:19:40.957	TTL1	0.0000	1	10.0000	90.0000	78.6713
Sample 84	Session 1	84	-55.7005	4.4718	76.8499	2022-05-18	10:19:50.988	TTL1	0.0000	1	10.0000	90.0000	312.4048
Sample 85	Session 1	85	-55.8671	4.3494	77.0922	2022-05-18	10:20:01.081	TTL1	0.0000	1	10.0000	90.0000	128.8385
Sample 86	Session 1	86	-55.7200	4.0971	77.1142	2022-05-18	10:20:11.107	TTL1	0.0000	1	10.0000	90.0000	275.9196
Sample 87	Session 1	87	-55.4604	3.6752	76.6393	2022-05-18	10:20:21.183	TTL1	0.0000	1	10.0000	90.0000	167.6040
Sample 88	Session 1	88	-55.3114	4.0596	76.9734	2022-05-18	10:20:31.216	TTL1	0.0000	1	10.0000	90.0000	304.4236
Sample 89	Session 1	89	-55.9175	4.2685	76.5573	2022-05-18	10:20:41.290	TTL1	0.0000	1	10.0000	90.0000	385.3752
Sample 90	Session 1	90	-55.4401	4.7171	77.3901	2022-05-18	10:20:51.314	TTL1	0.0000	1	10.0000	90.0000	413.8794
Sample 91	Session 1	91	-55.4924	4.6673	77.0144	2022-05-18	10:21:01.396	TTL1	0.0000	1	10.0000	90.0000	312.4048
Sample 92	Session 1	92	-55.7019	4.1452	76.7800	2022-05-18	10:21:11.439	TTL1	0.0000	1	10.0000	90.0000	478.8687
Sample 93	Session 1	93	-56.6172	4.8379	77.2275	2022-05-18	10:21:21.512	TTL1	0.0000	1	10.0000	90.0000	191.5475
Sample 94	Session 1	94	-55.8990	4.5221	77.3216	2022-05-18	10:21:31.539	TTL1	0.0000	1	10.0000	90.0000	338.6285
Sample 95	Session 1	95	-56.3113	4.0677	77.4263	2022-05-18	10:21:41.613	TTL1	0.0000	1	10.0000	90.0000	343.1892
Sample 96	Session 1	96	-56.0755	3.5498	77.1940	2022-05-18	10:21:51.648	TTL1	0.0000	1	10.0000	90.0000	312.4048
Sample 97	Session 1	97	-56.2135	4.2433	77.1728	2022-05-18	10:22:01.728	TTL1	0.0000	1	10.0000	90.0000	328.3671
Sample 98	Session 1	98	-55.7241	3.8821	76.9903	2022-05-18	10:22:11.761	TTL1	0.0000	1	10.0000	90.0000	229.1729
