# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 11	-67.7081	-16.9547	76.0982
#Sample 38	-62.7223	1.0190	74.2906
##HK_Session1	-63.4933	0.9239	73.4408
#Sample 2	-63.4347	2.4575	73.6966
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	402.6318	63.0237	225.2587	2022-06-30	11:15:18.870	TTL1	0.0000	1	10.0000	90.0000	7.9811
Sample 2	Session 2	2	-63.4347	2.4575	73.6966	2022-06-30	11:16:05.827	TTL1	0.0000	1	10.0000	90.0000	94.6336
Sample 3	Session 2	3	-63.7952	0.8874	72.6018	2022-06-30	11:16:11.886	TTL1	0.0000	1	10.0000	90.0000	19.3828
Sample 4	Session 2	4	-64.0493	0.7976	73.0111	2022-06-30	11:16:14.740	TTL1	0.0000	1	10.0000	90.0000	14.8221
Sample 5	Session 2	5	-64.6532	0.3228	71.9753	2022-06-30	11:16:19.342	TTL1	0.0000	1	10.0000	90.0000	11.4016
Sample 6	Session 2	6	-64.5952	0.3381	71.8884	2022-06-30	11:16:23.901	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 7	Session 2	7	-64.2228	0.3909	72.5082	2022-06-30	11:16:27.711	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 8	Session 2	8	-64.3857	2.5879	72.7945	2022-06-30	11:16:59.112	TTL1	0.0000	1	10.0000	90.0000	14.8221
Sample 9	Session 2	9	-64.5632	3.1752	73.4199	2022-06-30	11:17:02.113	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 10	Session 2	10	-63.5723	2.6991	73.5832	2022-06-30	11:17:05.716	TTL1	0.0000	1	10.0000	90.0000	9.1213
