# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 11	-68.3085	18.8252	67.3611
##Sample 22	-63.3480	14.1184	69.0975
#HK_Session1	-63.8761	13.4463	68.5364
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	0.0000	-18.0000	18.0000	2022-06-14	11:00:54.767	TTL1	0.0000	1	10.0000	90.0000	5.7008
Sample 2	Session 1	2	-63.3893	-13.5444	80.5313	2022-06-14	11:02:14.950	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 3	Session 1	3	-69.8443	2.7219	68.1092	2022-06-14	11:02:23.660	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 4	Session 1	4	-69.6987	20.2664	66.2608	2022-06-14	11:02:29.623	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 5	Session 1	5	-69.2388	19.5383	66.5168	2022-06-14	11:02:35.134	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 6	Session 1	6	-70.8078	16.6225	62.0024	2022-06-14	11:02:38.890	TTL1	0.0000	1	10.0000	90.0000	5.7008
Sample 7	Session 1	7	-65.9500	20.0629	62.7177	2022-06-14	11:02:46.800	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 8	Session 1	8	-66.5080	21.9478	62.8994	2022-06-14	11:02:50.859	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 9	Session 1	9	-73.9601	21.4702	51.1566	2022-06-14	11:03:02.575	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 10	Session 1	10	-72.1459	19.8800	56.8590	2022-06-14	11:03:06.980	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 11	Session 1	11	-68.3085	18.8252	67.3611	2022-06-14	11:03:20.489	TTL1	0.0000	1	10.0000	90.0000	59.2885
Sample 12	Session 1	12	-68.3298	19.7894	66.6707	2022-06-14	11:03:25.745	TTL1	0.0000	1	10.0000	90.0000	11.4016
Sample 13	Session 1	13	-69.1115	19.9005	66.0865	2022-06-14	11:03:29.350	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 14	Session 1	14	-68.2860	18.4840	64.6184	2022-06-14	11:03:51.193	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 15	Session 1	15	-67.0555	17.5072	65.2727	2022-06-14	11:03:55.348	TTL1	0.0000	1	10.0000	90.0000	27.3639
Sample 16	Session 1	16	-66.0863	17.1303	66.3231	2022-06-14	11:04:01.207	TTL1	0.0000	1	10.0000	90.0000	18.2426
Sample 17	Session 1	17	-67.0480	17.7451	66.1893	2022-06-14	11:04:05.560	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 18	Session 1	18	-67.0972	17.0410	62.3954	2022-06-14	11:04:09.261	TTL1	0.0000	1	10.0000	90.0000	49.0270
Sample 19	Session 1	19	-61.9405	14.8695	72.1596	2022-06-14	11:04:17.577	TTL1	0.0000	1	10.0000	90.0000	74.1106
Sample 20	Session 1	20	-62.6339	14.8417	71.1572	2022-06-14	11:04:21.980	TTL1	0.0000	1	10.0000	90.0000	21.6631
Sample 21	Session 1	21	-63.4518	14.8287	71.5840	2022-06-14	11:04:26.788	TTL1	0.0000	1	10.0000	90.0000	18.2426
Sample 22	Session 1	22	-63.3480	14.1184	69.0975	2022-06-14	11:04:31.194	TTL1	0.0000	1	10.0000	90.0000	117.4368
Sample 23	Session 1	23	-63.4324	14.1798	68.9339	2022-06-14	11:04:35.659	TTL1	0.0000	1	10.0000	90.0000	104.8950
