# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 11	-68.3085	18.8252	67.3611
#Sample 22	-63.3480	14.1184	69.0975
#HK_Session1	-63.8761	13.4463	68.5364
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	0.0000	-18.0000	18.0000	2022-06-28	10:54:16.544	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 2	Session 2	2	-66.7007	13.3144	68.1652	2022-06-28	10:55:24.897	TTL1	0.0000	1	10.0000	90.0000	19.3828
Sample 3	Session 2	3	-65.0736	13.4210	68.4303	2022-06-28	10:55:32.905	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 4	Session 2	4	-65.9146	12.5198	67.5404	2022-06-28	10:55:37.657	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 5	Session 2	5	-64.9153	12.7999	68.5841	2022-06-28	10:55:40.770	TTL1	0.0000	1	10.0000	90.0000	14.8221
Sample 6	Session 2	6	-65.1644	13.2179	68.1383	2022-06-28	10:55:50.224	TTL1	0.0000	1	10.0000	90.0000	90.0729
Sample 7	Session 2	7	-64.6066	13.6506	68.1828	2022-06-28	10:56:01.090	TTL1	0.0000	1	10.0000	90.0000	67.2696
Sample 8	Session 2	8	-64.3560	13.1675	68.5086	2022-06-28	10:56:06.055	TTL1	0.0000	1	10.0000	90.0000	23.9434
Sample 9	Session 2	9	-64.7509	13.3845	67.4368	2022-06-28	10:56:13.668	TTL1	0.0000	1	10.0000	90.0000	55.8680
Sample 10	Session 2	10	-64.4089	12.7838	68.2229	2022-06-28	10:56:17.270	TTL1	0.0000	1	10.0000	90.0000	145.9409
