# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-60.1334	-13.9969	84.8878	2022-07-28	11:07:26.178	TTL1	0.0000	1	10.0000	90.0000	174.4450
Sample 2	Session 1	2	-59.4031	-13.8360	86.1907	2022-07-28	11:07:34.446	TTL1	0.0000	1	10.0000	90.0000	14.8221
Sample 3	Session 1	3	-56.0947	-5.4307	86.1814	2022-07-28	11:07:39.255	TTL1	0.0000	1	10.0000	90.0000	28.5041
Sample 4	Session 1	4	-55.4142	-3.1902	88.2093	2022-07-28	11:07:43.299	TTL1	0.0000	1	10.0000	90.0000	15.9623
Sample 5	Session 1	5	-53.9066	-1.1457	89.4605	2022-07-28	11:07:47.167	TTL1	0.0000	1	10.0000	90.0000	86.6524
Sample 6	Session 1	6	-57.2839	-10.8642	88.7766	2022-07-28	11:07:50.919	TTL1	0.0000	1	10.0000	90.0000	26.2238
Sample 7	Session 1	7	-53.8669	-11.9038	94.0508	2022-07-28	11:07:54.115	TTL1	0.0000	1	10.0000	90.0000	7.9811
Sample 8	Session 1	8	-57.5861	-9.3619	84.8027	2022-07-28	11:07:57.578	TTL1	0.0000	1	10.0000	90.0000	60.4287
Sample 9	Session 1	9	-56.0911	-0.9805	83.3222	2022-07-28	11:08:00.886	TTL1	0.0000	1	10.0000	90.0000	7.9811
Sample 10	Session 1	10	-59.0562	-14.8788	83.4330	2022-07-28	11:08:06.446	TTL1	0.0000	1	10.0000	90.0000	107.1754
Sample 11	Session 1	11	-60.8636	-17.0729	82.3352	2022-07-28	11:08:11.050	TTL1	0.0000	1	10.0000	90.0000	17.1025
Sample 12	Session 1	12	-60.2623	-4.1106	78.4251	2022-07-28	11:08:15.206	TTL1	0.0000	1	10.0000	90.0000	29.6443
Sample 13	Session 1	13	-57.3064	-13.9755	87.3785	2022-07-28	11:08:18.863	TTL1	0.0000	1	10.0000	90.0000	15.9623
yy	Session 1	14	-60.1449	-12.1643	82.9369	2022-07-28	11:10:17.381	TTL1	0.0000	1	10.0000	90.0000	96.9139
Sample 15	Session 1	15	-59.9649	-13.6854	83.4949	2022-07-28	11:11:09.111	TTL1	0.0000	1	10.0000	90.0000	17.1025
Sample 16	Session 1	16	-59.6041	-13.4225	84.2716	2022-07-28	11:11:19.217	TTL1	0.0000	1	10.0000	90.0000	19.3828
Sample 17	Session 1	17	-59.8803	-13.7452	83.5175	2022-07-28	11:11:32.439	TTL1	0.0000	1	10.0000	90.0000	167.6040
Sample 18	Session 1	18	-60.5790	-14.9975	83.1856	2022-07-28	11:11:42.861	TTL1	0.0000	1	10.0000	90.0000	117.4368
Sample 19	Session 1	19	-60.2787	-14.6296	83.0614	2022-07-28	11:11:52.867	TTL1	0.0000	1	10.0000	90.0000	13.6820
Sample 20	Session 1	20	-60.7379	-14.3114	81.9975	2022-07-28	11:12:07.739	TTL1	0.0000	1	10.0000	90.0000	50.1672
Sample 21	Session 1	21	-60.0129	-13.9303	82.6586	2022-07-28	11:12:30.230	TTL1	0.0000	1	10.0000	90.0000	117.4368
Sample 22	Session 1	22	-59.8080	-14.0860	83.4409	2022-07-28	11:12:37.935	TTL1	0.0000	1	10.0000	90.0000	36.4852
