# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#Sample 14	-56.9428	-9.3941	78.8318
#HK_Session1	-59.2645	-10.3850	79.4940
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	0.0000	-18.0000	18.0000	2022-09-07	11:01:20.399	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 2	Session 1	2	-54.6338	-13.7400	80.3792	2022-09-07	11:02:39.253	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 3	Session 1	3	-57.2786	-11.5897	86.1568	2022-09-07	11:02:43.216	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 4	Session 1	4	-48.3337	8.0421	81.7256	2022-09-07	11:02:47.473	TTL1	0.0000	1	10.0000	90.0000	7.9811
Sample 5	Session 1	5	-38.6044	4.7434	92.5258	2022-09-07	11:02:51.725	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 6	Session 1	6	-55.7391	14.2625	78.2529	2022-09-07	11:03:19.668	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 7	Session 1	7	-56.1405	-16.3294	81.9928	2022-09-07	11:03:26.186	TTL1	0.0000	1	10.0000	90.0000	74.1106
Sample 8	Session 1	8	-56.4911	-13.6254	80.1948	2022-09-07	11:03:41.449	TTL1	0.0000	1	10.0000	90.0000	20.5229
Sample 9	Session 1	9	-56.7183	-13.8732	80.2688	2022-09-07	11:03:45.605	TTL1	0.0000	1	10.0000	90.0000	42.1861
Sample 10	Session 1	10	-56.8471	-13.0636	79.7251	2022-09-07	11:04:04.743	TTL1	0.0000	1	10.0000	90.0000	17.1025
Sample 11	Session 1	11	-55.0456	-13.3867	81.1039	2022-09-07	11:04:11.289	TTL1	0.0000	1	10.0000	90.0000	25.0836
Sample 12	Session 1	12	-55.8839	-13.2768	80.4576	2022-09-07	11:04:15.557	TTL1	0.0000	1	10.0000	90.0000	9.1213
Sample 13	Session 1	13	-59.6381	-10.2960	78.4595	2022-09-07	11:04:28.426	TTL1	0.0000	1	10.0000	90.0000	31.9246
Sample 14	Session 1	14	-56.9428	-9.3941	78.8318	2022-09-07	11:04:35.433	TTL1	0.0000	1	10.0000	90.0000	238.2942
Sample 15	Session 1	15	-57.9846	-8.7479	78.7485	2022-09-07	11:05:08.984	TTL1	0.0000	1	10.0000	90.0000	167.6040
Sample 16	Session 1	16	-57.3866	-9.2032	78.6279	2022-09-07	11:05:11.583	TTL1	0.0000	1	10.0000	90.0000	168.7442
Sample 17	Session 1	17	-57.5344	-9.9571	79.2804	2022-09-07	11:05:14.294	TTL1	0.0000	1	10.0000	90.0000	129.9786
Sample 18	Session 1	18	-57.7836	-9.7821	79.2146	2022-09-07	11:05:17.285	TTL1	0.0000	1	10.0000	90.0000	306.7040
Sample 19	Session 1	19	-58.0289	-9.5029	79.0837	2022-09-07	11:05:21.205	TTL1	0.0000	1	10.0000	90.0000	237.1540
Sample 20	Session 1	20	-57.9557	-9.3063	79.1298	2022-09-07	11:05:24.499	TTL1	0.0000	1	10.0000	90.0000	116.2967
Sample 21	Session 1	21	-59.2450	-9.9808	80.3038	2022-09-07	11:05:29.961	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 22	Session 1	22	-59.1092	-10.3981	79.9301	2022-09-07	11:05:34.772	TTL1	0.0000	1	10.0000	90.0000	376.2540
HK_Session1	Session 1	23	-59.2645	-10.3850	79.4940	2022-09-07	11:05:39.678	TTL1	0.0000	1	10.0000	90.0000	481.1490
Sample 24	Session 1	24	-58.8221	-10.2193	77.9712	2022-09-07	11:06:55.285	TTL1	0.0000	1	10.0000	90.0000	6.8410
