# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#HK_Session1	-56.9048	0.0057	78.6780
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	0.0000	-18.0000	18.0000	2022-09-15	10:56:29.498	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 2	Session 1	2	0.0000	-18.0000	18.0000	2022-09-15	10:56:45.161	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 3	Session 1	3	-57.2219	-13.4532	80.6695	2022-09-15	10:57:48.313	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 4	Session 1	4	-58.2131	-13.3254	80.2691	2022-09-15	10:57:58.167	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 5	Session 1	5	-58.0181	-11.5143	82.4994	2022-09-15	10:58:00.974	TTL1	0.0000	1	10.0000	90.0000	5.7008
Sample 6	Session 1	6	-55.1796	-7.0910	80.2985	2022-09-15	10:58:05.741	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 7	Session 1	7	-40.3269	0.9896	90.2715	2022-09-15	10:58:19.855	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 8	Session 1	8	-53.9077	-6.6307	81.8962	2022-09-15	10:58:25.361	TTL1	0.0000	1	10.0000	90.0000	132.2590
Sample 9	Session 1	9	-56.5573	-11.9404	80.9952	2022-09-15	10:58:38.079	TTL1	0.0000	1	10.0000	90.0000	93.4934
Sample 10	Session 1	10	-52.9063	-6.0922	82.6071	2022-09-15	10:58:41.838	TTL1	0.0000	1	10.0000	90.0000	23.9434
Sample 11	Session 1	11	-52.3874	-2.6121	82.5484	2022-09-15	10:58:45.035	TTL1	0.0000	1	10.0000	90.0000	11.4016
Sample 12	Session 1	12	-56.2895	-2.4105	79.4613	2022-09-15	10:58:49.094	TTL1	0.0000	1	10.0000	90.0000	21.6631
Sample 13	Session 1	13	-55.7412	-2.4894	79.0303	2022-09-15	10:58:53.249	TTL1	0.0000	1	10.0000	90.0000	93.4934
Sample 14	Session 1	14	-55.7053	-2.6669	78.5356	2022-09-15	10:58:57.808	TTL1	0.0000	1	10.0000	90.0000	19.3828
Sample 15	Session 1	15	-55.6485	-1.6416	78.0993	2022-09-15	10:59:02.464	TTL1	0.0000	1	10.0000	90.0000	23.9434
Sample 16	Session 1	16	-56.5477	-1.8554	78.6248	2022-09-15	10:59:06.426	TTL1	0.0000	1	10.0000	90.0000	51.3074
Sample 17	Session 1	17	-56.2805	-1.3560	78.5696	2022-09-15	10:59:11.630	TTL1	0.0000	1	10.0000	90.0000	185.8466
Sample 18	Session 1	18	-56.3243	-1.0511	78.5281	2022-09-15	10:59:16.441	TTL1	0.0000	1	10.0000	90.0000	17.1025
Sample 19	Session 1	19	-55.9594	-0.6230	77.3911	2022-09-15	10:59:19.693	TTL1	0.0000	1	10.0000	90.0000	19.3828
HK_Session1	Session 1	20	-56.9048	0.0057	78.6780	2022-09-15	10:59:23.099	TTL1	0.0000	1	10.0000	90.0000	98.0541
Sample 21	Session 1	21	-56.7040	-0.0896	78.6827	2022-09-15	10:59:27.756	TTL1	0.0000	1	10.0000	90.0000	131.1188
