# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#TEMPLATE_HK	-37.0000	-21.0000	58.0000
#HK_Session1	-54.7551	-16.9331	78.3790
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	0.0000	-18.0000	18.0000	2022-11-08	10:47:32.978	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 2	Session 2	2	0.0000	-18.0000	18.0000	2022-11-08	10:48:22.305	TTL1	0.0000	1	10.0000	90.0000	6.8410
Sample 3	Session 2	3	-56.2219	-16.3769	79.8037	2022-11-08	10:49:28.541	TTL1	0.0000	1	10.0000	90.0000	342.0490
Sample 4	Session 2	4	-56.2485	-16.3883	79.8221	2022-11-08	10:49:42.166	TTL1	0.0000	1	10.0000	90.0000	82.0918
Sample 5	Session 2	5	-54.7820	-18.5349	80.7032	2022-11-08	10:49:45.474	TTL1	0.0000	1	10.0000	90.0000	20.5229
Sample 6	Session 2	6	-58.3224	-21.1360	78.8725	2022-11-08	10:49:48.379	TTL1	0.0000	1	10.0000	90.0000	12.5418
Sample 7	Session 2	7	-55.9959	-15.9617	80.0809	2022-11-08	10:49:59.840	TTL1	0.0000	1	10.0000	90.0000	41.0459
Sample 8	Session 2	8	-54.1341	-15.3759	77.8485	2022-11-08	10:50:22.374	TTL1	0.0000	1	10.0000	90.0000	221.1917
Sample 9	Session 2	9	-54.1084	-16.5339	78.2733	2022-11-08	10:50:25.832	TTL1	0.0000	1	10.0000	90.0000	79.8114
Sample 10	Session 2	10	-54.2721	-16.9800	78.0745	2022-11-08	10:50:28.785	TTL1	0.0000	1	10.0000	90.0000	52.4475
Sample 11	Session 2	11	-53.8480	-16.6662	77.5935	2022-11-08	10:50:32.489	TTL1	0.0000	1	10.0000	90.0000	120.8573
Sample 12	Session 2	12	-54.2374	-16.4221	77.6741	2022-11-08	10:50:36.242	TTL1	0.0000	1	10.0000	90.0000	410.4588
Sample 13	Session 2	13	-55.9390	-16.7535	79.0444	2022-11-08	10:51:48.244	TTL1	0.0000	1	10.0000	90.0000	10.2615
Sample 14	Session 2	14	-55.7689	-16.1426	78.4169	2022-11-08	10:52:06.123	TTL1	0.0000	1	10.0000	90.0000	28.5041
Sample 15	Session 2	15	-54.5598	-16.3987	78.5122	2022-11-08	10:52:10.836	TTL1	0.0000	1	10.0000	90.0000	15.9623
Sample 16	Session 2	16	-55.6108	-15.8330	78.5203	2022-11-08	10:52:28.751	TTL1	0.0000	1	10.0000	90.0000	194.9679
Sample 17	Session 2	17	-56.0699	-15.4499	79.0541	2022-11-08	10:52:44.284	TTL1	0.0000	1	10.0000	90.0000	52.4475
Sample 18	Session 2	18	-54.4866	-15.8418	77.9989	2022-11-08	10:53:00.507	TTL1	0.0000	1	10.0000	90.0000	304.4236
