# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_Session1	-49.7921	-7.4710	81.1855
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	0.0000	-18.0000	18.0000	2022-10-26	10:46:07.749	TTL1	0.0000	1	10.0000	90.0000	205.2294
Sample 2	Session 1	2	-55.6377	-12.7635	79.6964	2022-10-26	10:46:47.812	TTL1	0.0000	1	10.0000	90.0000	98.0541
Sample 3	Session 1	3	-55.0115	-13.0745	80.4604	2022-10-26	10:46:51.717	TTL1	0.0000	1	10.0000	90.0000	78.6713
Sample 4	Session 1	4	-53.9800	-14.2310	79.9873	2022-10-26	10:46:54.510	TTL1	0.0000	1	10.0000	90.0000	45.6065
Sample 5	Session 1	5	-54.1499	-14.2171	79.6356	2022-10-26	10:46:57.720	TTL1	0.0000	1	10.0000	90.0000	90.0729
Sample 6	Session 1	6	-54.0868	-14.2067	79.6525	2022-10-26	10:47:00.832	TTL1	0.0000	1	10.0000	90.0000	60.4287
Sample 7	Session 1	7	-56.0036	-13.4127	79.9367	2022-10-26	10:47:04.933	TTL1	0.0000	1	10.0000	90.0000	91.2131
Sample 8	Session 1	8	-56.5976	-13.0851	80.1471	2022-10-26	10:47:09.588	TTL1	0.0000	1	10.0000	90.0000	88.9327
Sample 9	Session 1	9	-55.9275	-12.9829	79.1523	2022-10-26	10:47:12.437	TTL1	0.0000	1	10.0000	90.0000	67.2696
Sample 10	Session 1	10	-57.7798	-9.8729	82.8023	2022-10-26	10:47:15.494	TTL1	0.0000	1	10.0000	90.0000	80.9516
Sample 11	Session 1	11	-56.6596	-11.8612	80.6767	2022-10-26	10:47:21.206	TTL1	0.0000	1	10.0000	90.0000	66.1295
Sample 12	Session 1	12	-55.8685	-12.1830	79.6175	2022-10-26	10:47:23.360	TTL1	0.0000	1	10.0000	90.0000	57.0082
Sample 13	Session 1	13	48.0789	-251.3453	203.9357	2022-10-26	10:47:57.754	Button	0.0000	(null)	(null)	(null)	(null)
Sample 14	Session 1	14	48.0789	-251.3453	203.9357	2022-10-26	10:48:04.559	Button	0.0000	(null)	(null)	(null)	(null)
Sample 15	Session 1	15	48.0789	-251.3453	203.9357	2022-10-26	10:49:33.024	TTL1	0.0000	1	10.0000	90.0000	11.4016
Sample 16	Session 1	16	48.0789	-251.3453	203.9357	2022-10-26	10:49:39.749	TTL1	0.0000	1	10.0000	90.0000	9.1213
