# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 6	-65.6983	-7.9599	93.2771
#Sample 12	-70.2328	-13.8159	90.9594
#Sample 20	-69.8348	-13.7517	82.6946
#Sample 26	-74.1062	-14.4631	86.0265
#HK_REAL	-74.1062	-14.4631	86.0265
#Sample 55	-70.4627	-16.4620	83.9728
#HK_USE	-70.4627	-16.4620	83.9728
Sample Name	Session Name	Index	Loc. X		Loc. Y		Loc. Z	Date		Time		Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
HK_REAL		Session 1	26	-74.1062	-14.4631	86.0265	2020-10-21	10:00:44.148	TTL1	0.0000	1	15.0022	60.0003	286.1810
HK_USE		Session 1	55	-70.4627	-16.4620	83.9728	2020-10-21	10:10:29.159	TTL1	0.0000	1	15.0022	60.0003	17.1024
MEP Start	Session 1	56	-69.2557	-16.2158	83.2105	2020-10-21	10:13:49.666	TTL1	0.0000	1	15.0022	60.0003	33.0648
Sample 57	Session 1	57	-69.2676	-16.8936	84.3421	2020-10-21	10:13:56.923	TTL1	0.0000	1	15.0022	60.0003	31.9246
Sample 58	Session 1	58	-69.7946	-16.4372	83.9852	2020-10-21	10:14:00.873	TTL1	0.0000	1	15.0022	60.0003	29.6442
Sample 59	Session 1	59	-69.8174	-16.4601	84.3521	2020-10-21	10:14:06.340	TTL1	0.0000	1	15.0022	60.0003	28.5042
Sample 60	Session 1	60	-69.5536	-17.0361	84.0564	2020-10-21	10:14:15.741	TTL1	0.0000	1	15.0022	60.0003	38.7656
Sample 61	Session 1	61	-69.4074	-16.8469	84.4884	2020-10-21	10:14:20.103	TTL1	0.0000	1	15.0022	60.0003	29.6443
Sample 62	Session 1	62	-69.4643	-16.8874	84.4511	2020-10-21	10:14:24.559	TTL1	0.0000	1	15.0022	60.0003	29.6443
Sample 63	Session 1	63	-69.3982	-16.9704	84.4046	2020-10-21	10:14:27.861	TTL1	0.0000	1	15.0022	60.0003	34.2048
Sample 64	Session 1	64	-69.8699	-16.9270	83.7931	2020-10-21	10:14:34.229	TTL1	0.0000	1	15.0022	60.0003	27.3640
Sample 65	Session 1	65	-69.7002	-16.9836	84.2594	2020-10-21	10:14:40.640	TTL1	0.0000	1	15.0022	60.0003	30.7844
Sample 66	Session 1	66	-69.7385	-17.3272	84.2268	2020-10-21	10:14:44.345	TTL1	0.0000	1	15.0022	60.0003	25.0835
Sample 67	Session 1	67	-69.8230	-17.0799	84.3277	2020-10-21	10:14:48.452	TTL1	0.0000	1	15.0022	60.0003	29.6443
Sample 68	Session 1	68	-70.2889	-16.7216	83.6224	2020-10-21	10:14:57.063	TTL1	0.0000	1	15.0022	60.0003	25.0836
Sample 69	Session 1	69	-70.2471	-16.5573	83.7743	2020-10-21	10:15:01.217	TTL1	0.0000	1	15.0022	60.0003	30.7844
Sample 70	Session 1	70	-70.2674	-16.5738	84.0901	2020-10-21	10:15:08.282	TTL1	0.0000	1	15.0022	60.0003	28.5042
Sample 71	Session 1	71	-70.4037	-16.5857	83.9667	2020-10-21	10:15:11.274	TTL1	0.0000	1	15.0022	60.0003	31.9246
Sample 72	Session 1	72	-70.2792	-16.8019	83.9711	2020-10-21	10:15:15.341	TTL1	0.0000	1	15.0022	60.0003	28.5040
Sample 73	Session 1	73	-70.4664	-16.8485	84.0737	2020-10-21	10:15:22.644	TTL1	0.0000	1	15.0022	60.0003	27.3639
Sample 74	Session 1	74	-70.3419	-16.9686	83.9681	2020-10-21	10:15:27.856	TTL1	0.0000	1	15.0022	60.0003	42.1860
MEP End		Session 1	75	-70.0536	-16.5468	84.0070	2020-10-21	10:15:33.618	TTL1	0.0000	1	15.0022	60.0003	29.6443
ICF Start	Session 1	76	-70.7301	-16.7506	84.2197	2020-10-21	10:19:41.875	TTL1	0.0000	1	15.0022	60.0003	13.6819
Sample 79	Session 1	79	-70.8177	-16.4883	84.3770	2020-10-21	10:19:51.966	TTL1	0.0000	1	15.0022	60.0003	13.6819
Sample 80	Session 1	80	-70.8357	-16.2610	84.8938	2020-10-21	10:20:01.979	TTL1	0.0000	1	15.0022	60.0003	15.9623
Sample 81	Session 1	81	-70.7414	-16.6235	84.6139	2020-10-21	10:20:12.069	TTL1	0.0000	1	15.0022	60.0003	33.0647
Sample 83	Session 1	83	-70.7534	-16.5384	84.5516	2020-10-21	10:20:22.097	TTL1	0.0000	1	15.0022	60.0003	18.2426
Sample 84	Session 1	84	-70.6103	-16.7599	84.0571	2020-10-21	10:20:32.175	TTL1	0.0000	1	15.0022	60.0003	42.1860
Sample 86	Session 1	86	-70.0352	-16.9641	84.6179	2020-10-21	10:20:42.201	TTL1	0.0000	1	15.0022	60.0003	20.5229
Sample 87	Session 1	87	-70.3132	-16.8571	84.2616	2020-10-21	10:20:52.290	TTL1	0.0000	1	15.0022	60.0003	46.7467
Sample 89	Session 1	89	-70.7099	-17.0642	83.5763	2020-10-21	10:21:02.335	TTL1	0.0000	1	15.0022	60.0003	31.9246
Sample 90	Session 1	90	-70.5143	-17.1822	83.6777	2020-10-21	10:21:12.410	TTL1	0.0000	1	15.0022	60.0003	44.4664
Sample 91	Session 1	91	-70.1570	-16.7459	84.1772	2020-10-21	10:21:22.451	TTL1	0.0000	1	15.0022	60.0003	18.2426
Sample 92	Session 1	92	-70.2867	-16.3101	84.2571	2020-10-21	10:21:32.527	TTL1	0.0000	1	15.0022	60.0003	27.3639
Sample 93	Session 1	93	-70.2584	-16.6672	84.3665	2020-10-21	10:21:42.568	TTL1	0.0000	1	15.0022	60.0003	45.6066
Sample 94	Session 1	94	-70.4896	-16.3837	84.5224	2020-10-21	10:21:52.651	TTL1	0.0000	1	15.0022	60.0003	15.9623
