# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK	-37.5907	-21.6476	98.1549
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
MEP Start	Session 2	28	-39.4175	-21.2881	102.1171	2020-12-22	11:37:22.267	TTL1	0.0000	1	10.0000	90.0000	51.3073
Sample 29	Session 2	29	-39.8202	-21.5584	101.6534	2020-12-22	11:37:25.967	TTL1	0.0000	1	10.0000	90.0000	45.6066
Sample 30	Session 2	30	-39.9758	-21.4168	102.0356	2020-12-22	11:37:29.421	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 31	Session 2	31	-39.7612	-21.3686	101.6864	2020-12-22	11:37:34.472	TTL1	0.0000	1	10.0000	90.0000	43.3262
Sample 32	Session 2	32	-39.7157	-21.2963	101.8574	2020-12-22	11:37:34.584	TTL1	0.0000	1	10.0000	90.0000	46.7467
Sample 33	Session 2	33	-39.6693	-21.3283	101.8886	2020-12-22	11:37:40.985	TTL1	0.0000	1	10.0000	90.0000	44.4664
Sample 34	Session 2	34	-40.0422	-21.7090	101.4807	2020-12-22	11:37:46.388	TTL1	0.0000	1	10.0000	90.0000	43.3262
Sample 35	Session 2	35	-39.8583	-21.4576	101.7107	2020-12-22	11:37:52.846	TTL1	0.0000	1	10.0000	90.0000	43.3262
Sample 36	Session 2	36	-39.8827	-21.6798	101.2543	2020-12-22	11:37:59.212	TTL1	0.0000	1	10.0000	90.0000	42.1861
Sample 37	Session 2	37	-39.5998	-21.4526	101.6961	2020-12-22	11:38:06.216	TTL1	0.0000	1	10.0000	90.0000	37.6254
Sample 38	Session 2	38	-39.4531	-21.2460	101.8954	2020-12-22	11:38:12.132	TTL1	0.0000	1	10.0000	90.0000	39.9058
Sample 39	Session 2	39	-39.5937	-20.9466	101.8402	2020-12-22	11:38:17.590	TTL1	0.0000	1	10.0000	90.0000	38.7656
Sample 40	Session 2	40	-39.6332	-20.8337	102.0185	2020-12-22	11:38:22.295	TTL1	0.0000	1	10.0000	90.0000	37.6254
Sample 41	Session 2	41	-39.8817	-20.8616	101.7787	2020-12-22	11:38:29.506	TTL1	0.0000	1	10.0000	90.0000	36.4852
Sample 42	Session 2	42	-40.0286	-20.9864	102.0283	2020-12-22	11:38:37.069	TTL1	0.0000	1	10.0000	90.0000	39.9058
Sample 43	Session 2	43	-40.2223	-21.2664	101.5025	2020-12-22	11:38:43.123	TTL1	0.0000	1	10.0000	90.0000	41.0459
Sample 44	Session 2	44	-40.2437	-21.3203	101.6422	2020-12-22	11:38:45.630	TTL1	0.0000	1	10.0000	90.0000	38.7656
Sample 45	Session 2	45	-40.0057	-21.0808	101.9146	2020-12-22	11:38:50.694	TTL1	0.0000	1	10.0000	90.0000	42.1860
Sample 46	Session 2	46	-40.0093	-21.2315	101.7616	2020-12-22	11:38:55.345	TTL1	0.0000	1	10.0000	90.0000	39.9057
Sample 47	Session 2	47	-39.9654	-21.2550	101.6791	2020-12-22	11:39:03.306	TTL1	0.0000	1	10.0000	90.0000	58.1484
MEP End	Session 2	48	-39.8463	-21.2327	101.4865	2020-12-22	11:39:08.457	TTL1	0.0000	1	10.0000	90.0000	43.3262
ICF Start	Session 2	49	-39.7036	-21.8575	101.3572	2020-12-22	11:40:46.693	TTL1	0.0000	1	10.0000	90.0000	77.5311
Sample 50	Session 2	50	-39.7967	-21.5026	101.3487	2020-12-22	11:40:56.782	TTL1	0.0000	1	10.0000	90.0000	52.4476
Sample 51	Session 2	51	-39.6693	-21.9420	101.3667	2020-12-22	11:41:06.816	TTL1	0.0000	1	10.0000	90.0000	46.7468
Sample 52	Session 2	52	-39.3314	-21.6622	101.7659	2020-12-22	11:41:16.895	TTL1	0.0000	1	10.0000	90.0000	77.5311
Sample 53	Session 2	53	-39.6448	-21.8429	101.5397	2020-12-22	11:41:26.928	TTL1	0.0000	1	10.0000	90.0000	39.9057
Sample 54	Session 2	54	-39.5211	-21.5682	101.2487	2020-12-22	11:41:37.002	TTL1	0.0000	1	10.0000	90.0000	57.0082
Sample 55	Session 2	55	-39.2567	-21.0720	101.6129	2020-12-22	11:41:47.047	TTL1	0.0000	1	10.0000	90.0000	41.0458
Sample 56	Session 2	56	-39.3467	-21.1490	101.5053	2020-12-22	11:41:57.119	TTL1	0.0000	1	10.0000	90.0000	55.8680
Sample 57	Session 2	57	-39.4328	-21.2140	101.3471	2020-12-22	11:42:07.144	TTL1	0.0000	1	10.0000	90.0000	53.5877
Sample 58	Session 2	58	-39.4796	-21.2426	101.1736	2020-12-22	11:42:17.220	TTL1	0.0000	1	10.0000	90.0000	64.9893
Sample 59	Session 2	59	-39.8390	-21.4188	101.0865	2020-12-22	11:42:27.255	TTL1	0.0000	1	10.0000	90.0000	53.5877
Sample 60	Session 2	60	-39.8114	-21.4959	101.1451	2020-12-22	11:42:37.336	TTL1	0.0000	1	10.0000	90.0000	68.4098
Sample 61	Session 2	61	-39.8180	-21.3990	101.1915	2020-12-22	11:42:47.378	TTL1	0.0000	1	10.0000	90.0000	71.8303
Sample 62	Session 2	62	-39.7513	-21.4806	101.3612	2020-12-22	11:42:57.452	TTL1	0.0000	1	10.0000	90.0000	38.7656
Sample 63	Session 2	63	-39.9637	-21.4983	101.2791	2020-12-22	11:43:07.486	TTL1	0.0000	1	10.0000	90.0000	51.3074
Sample 64	Session 2	64	-39.9078	-21.3486	101.2091	2020-12-22	11:43:17.569	TTL1	0.0000	1	10.0000	90.0000	36.4853
Sample 65	Session 2	65	-39.7011	-21.5851	101.4682	2020-12-22	11:43:27.592	TTL1	0.0000	1	10.0000	90.0000	68.4098
Sample 66	Session 2	66	-39.5540	-21.4177	101.1831	2020-12-22	11:43:37.679	TTL1	0.0000	1	10.0000	90.0000	34.2050
Sample 67	Session 2	67	-39.7226	-20.6801	101.2334	2020-12-22	11:43:47.700	TTL1	0.0000	1	10.0000	90.0000	36.4853
Sample 68	Session 2	68	-39.3298	-21.0069	101.4372	2020-12-22	11:43:57.789	TTL1	0.0000	1	10.0000	90.0000	50.1672
Sample 69	Session 2	69	-39.8005	-21.0497	101.0383	2020-12-22	11:44:07.810	TTL1	0.0000	1	10.0000	90.0000	54.7279
