# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK2	-42.0674	-5.6503	92.9843
#HK_resample	-51.5591	-7.0299	100.9758
#HK_2nd	-62.6861	-8.7569	92.4256
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
HK_2nd	Session 3	10	-62.6861	-8.7569	92.4256	2020-09-01	10:53:27.501	Button	0.0000	(null)	(null)	(null)	(null)
MEP Start	Session 3	21	-62.3804	-9.0987	93.5122	2020-09-01	10:58:34.984	TTL1	0.0000	1	10.0000	90.0000	99.1942
Sample 22	Session 3	22	-62.4697	-9.1150	93.5123	2020-09-01	10:58:41.239	TTL1	0.0000	1	10.0000	90.0000	221.1918
Sample 23	Session 3	23	-62.2532	-7.7812	93.0857	2020-09-01	10:58:44.547	TTL1	0.0000	1	10.0000	90.0000	163.0433
Sample 24	Session 3	24	-62.1665	-8.7216	93.0183	2020-09-01	10:58:47.898	TTL1	0.0000	1	10.0000	90.0000	189.2672
Sample 25	Session 3	25	-62.5714	-8.7486	92.6135	2020-09-01	10:58:51.595	TTL1	0.0000	1	10.0000	90.0000	129.9786
Sample 26	Session 3	26	-60.4285	-9.1962	89.9905	2020-09-01	10:59:03.715	TTL1	0.0000	1	10.0000	90.0000	204.0893
Sample 27	Session 3	27	-60.3355	-7.4560	90.9466	2020-09-01	10:59:07.080	TTL1	0.0000	1	10.0000	90.0000	222.3318
Sample 28	Session 3	28	-60.1125	-7.1768	91.4515	2020-09-01	10:59:09.179	TTL1	0.0000	1	10.0000	90.0000	182.4261
Sample 29	Session 3	29	-60.9403	-7.5999	91.6725	2020-09-01	10:59:13.987	TTL1	0.0000	1	10.0000	90.0000	185.8467
Sample 30	Session 3	30	-60.8157	-7.7709	91.9797	2020-09-01	10:59:18.185	TTL1	0.0000	1	10.0000	90.0000	167.6041
Sample 31	Session 3	31	-62.4387	-9.1858	91.2905	2020-09-01	10:59:22.952	TTL1	0.0000	1	10.0000	90.0000	143.6606
Sample 32	Session 3	32	-62.2900	-8.6993	91.7163	2020-09-01	10:59:27.205	TTL1	0.0000	1	10.0000	90.0000	136.8196
Sample 33	Session 3	33	-62.1669	-8.6922	91.6767	2020-09-01	10:59:32.056	TTL1	0.0000	1	10.0000	90.0000	136.8196
Sample 34	Session 3	34	-62.1990	-8.5236	91.3757	2020-09-01	10:59:37.713	TTL1	0.0000	1	10.0000	90.0000	147.0811
Sample 35	Session 3	35	-62.0629	-8.3267	91.5160	2020-09-01	10:59:40.965	TTL1	0.0000	1	10.0000	90.0000	169.8843
Sample 36	Session 3	36	-61.5500	-8.8883	91.9243	2020-09-01	10:59:44.579	TTL1	0.0000	1	10.0000	90.0000	299.8629
Sample 37	Session 3	37	-61.7546	-8.5193	91.8057	2020-09-01	10:59:48.693	TTL1	0.0000	1	10.0000	90.0000	126.5581
Sample 38	Session 3	38	-61.8987	-8.0005	91.8116	2020-09-01	10:59:54.851	TTL1	0.0000	1	10.0000	90.0000	181.2859
Sample 39	Session 3	39	-61.9843	-8.0459	91.7584	2020-09-01	10:59:56.797	TTL1	0.0000	1	10.0000	90.0000	124.2779
Sample 40	Session 3	40	-62.0043	-7.6491	91.7337	2020-09-01	10:59:59.493	TTL1	0.0000	1	10.0000	90.0000	123.1376
Sample 41	Session 3	41	-61.8711	-7.9672	91.7605	2020-09-01	11:00:02.509	TTL1	0.0000	1	10.0000	90.0000	94.6335
Sample 42	Session 3	42	-62.0054	-7.8190	91.8761	2020-09-01	11:00:04.914	TTL1	0.0000	1	10.0000	90.0000	103.7549
MEP End	Session 3	43	-61.8199	-7.8990	91.9584	2020-09-01	11:00:07.110	TTL1	0.0000	1	10.0000	90.0000	135.6794
ICF Start	Session 3	44	-62.8557	-8.3577	94.1656	2020-09-01	11:01:58.218	TTL1	0.0000	1	10.0000	90.0000	307.8442
Sample 45	Session 3	45	-62.8557	-8.3577	94.1656	2020-09-01	11:01:58.218	TTL1	0.0000	1	10.0000	90.0000	307.8442
Sample 46	Session 3	46	-62.3588	-8.0894	94.1688	2020-09-01	11:02:08.298	TTL1	0.0000	1	10.0000	90.0000	202.9491
Sample 47	Session 3	47	-62.3718	-7.9535	94.2184	2020-09-01	11:02:08.298	TTL1	0.0000	1	10.0000	90.0000	112.8762
Sample 48	Session 3	48	-62.5863	-8.3177	94.0157	2020-09-01	11:02:18.336	TTL1	0.0000	1	10.0000	90.0000	129.9786
Sample 49	Session 3	49	-61.7626	-8.3306	94.2939	2020-09-01	11:02:28.413	TTL1	0.0000	1	10.0000	90.0000	273.6392
Sample 50	Session 3	50	-61.7626	-8.3306	94.2939	2020-09-01	11:02:28.427	TTL1	0.0000	1	10.0000	90.0000	257.6769
Sample 51	Session 3	51	-61.7704	-8.2370	94.6810	2020-09-01	11:02:38.448	TTL1	0.0000	1	10.0000	90.0000	123.1377
Sample 52	Session 3	52	-62.7445	-8.4919	93.9419	2020-09-01	11:02:48.539	TTL1	0.0000	1	10.0000	90.0000	175.5852
Sample 53	Session 3	53	-62.7445	-8.4919	93.9419	2020-09-01	11:02:48.553	TTL1	0.0000	1	10.0000	90.0000	86.6525
Sample 54	Session 3	54	-62.5900	-8.0937	94.1918	2020-09-01	11:02:58.562	TTL1	0.0000	1	10.0000	90.0000	79.8115
Sample 55	Session 3	55	-63.8325	-9.5927	95.8954	2020-09-01	11:03:08.645	TTL1	0.0000	1	10.0000	90.0000	224.6122
Sample 56	Session 3	56	-63.8325	-9.5927	95.8954	2020-09-01	11:03:08.659	TTL1	0.0000	1	10.0000	90.0000	196.1081
Sample 57	Session 3	57	-60.9831	-8.8670	93.4592	2020-09-01	11:03:18.666	TTL1	0.0000	1	10.0000	90.0000	299.8630
Sample 58	Session 3	58	-60.9831	-8.8670	93.4592	2020-09-01	11:03:18.680	TTL1	0.0000	1	10.0000	90.0000	270.2187
Sample 59	Session 3	59	-62.1763	-6.7717	93.2178	2020-09-01	11:03:28.757	TTL1	0.0000	1	10.0000	90.0000	451.5048
Sample 60	Session 3	60	-62.1763	-6.7717	93.2178	2020-09-01	11:03:28.771	TTL1	0.0000	1	10.0000	90.0000	451.5048
Sample 61	Session 3	61	-62.2883	-6.4183	93.0538	2020-09-01	11:03:38.792	TTL1	0.0000	1	10.0000	90.0000	218.9113
Sample 62	Session 3	62	-62.2883	-6.4183	93.0538	2020-09-01	11:03:38.792	TTL1	0.0000	1	10.0000	90.0000	114.0163
Sample 63	Session 3	63	-63.3555	-6.9694	93.1079	2020-09-01	11:03:48.869	TTL1	0.0000	1	10.0000	90.0000	206.3696
Sample 64	Session 3	64	-63.3555	-6.9694	93.1079	2020-09-01	11:03:48.883	TTL1	0.0000	1	10.0000	90.0000	136.8196
Sample 65	Session 3	65	-62.4606	-6.5866	94.2099	2020-09-01	11:03:58.906	TTL1	0.0000	1	10.0000	90.0000	186.9868
Sample 66	Session 3	66	-62.4606	-6.5866	94.2099	2020-09-01	11:03:58.920	TTL1	0.0000	1	10.0000	90.0000	168.7442
Sample 67	Session 3	67	-61.7978	-8.0539	93.8703	2020-09-01	11:04:08.969	TTL1	0.0000	1	10.0000	90.0000	115.1565
Sample 68	Session 3	68	-63.1972	-7.5775	93.9746	2020-09-01	11:04:19.007	TTL1	0.0000	1	10.0000	90.0000	167.6041
Sample 69	Session 3	69	-63.1972	-7.5775	93.9746	2020-09-01	11:04:19.021	TTL1	0.0000	1	10.0000	90.0000	98.0541
Sample 70	Session 3	70	-62.8821	-8.1108	94.1087	2020-09-01	11:04:29.084	TTL1	0.0000	1	10.0000	90.0000	189.2671
Sample 71	Session 3	71	-62.6620	-8.5284	93.1194	2020-09-01	11:04:39.121	TTL1	0.0000	1	10.0000	90.0000	191.5475
Sample 72	Session 3	72	-62.6620	-8.5284	93.1194	2020-09-01	11:04:39.121	TTL1	0.0000	1	10.0000	90.0000	106.0353
Sample 73	Session 3	73	-61.9509	-8.3916	93.5381	2020-09-01	11:04:49.198	TTL1	0.0000	1	10.0000	90.0000	118.5770
Sample 74	Session 3	74	-62.6122	-8.0564	93.9578	2020-09-01	11:04:59.233	TTL1	0.0000	1	10.0000	90.0000	134.5392
Sample 75	Session 3	75	-62.6122	-8.0564	93.9578	2020-09-01	11:04:59.247	TTL1	0.0000	1	10.0000	90.0000	84.3721
Sample 76	Session 3	76	-62.6541	-8.7494	93.8022	2020-09-01	11:05:09.324	TTL1	0.0000	1	10.0000	90.0000	102.6147
Sample 77	Session 3	77	-62.7614	-8.8961	93.7046	2020-09-01	11:05:19.360	TTL1	0.0000	1	10.0000	90.0000	194.9680
Sample 78	Session 3	78	-62.7614	-8.8961	93.7046	2020-09-01	11:05:19.360	TTL1	0.0000	1	10.0000	90.0000	159.6229
Sample 79	Session 3	79	-62.3790	-8.4889	93.6932	2020-09-01	11:05:29.437	TTL1	0.0000	1	10.0000	90.0000	207.5097
