# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK	-43.5772	9.7938	100.6308
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
HK	Session 1	58	-43.5772	9.7938	100.6308	2020-08-25	10:51:46.587	Remote	0.0000	(null)	(null)	(null)	(null)
START MEP	Session 1	75	-42.6342	10.0114	100.1068	2020-08-25	10:57:52.225	TTL1	0.0000	1	14.9986	60.0003	69.5500
Sample 76	Session 1	76	-42.6640	10.0814	99.7739	2020-08-25	10:57:56.829	TTL1	0.0000	1	14.9986	60.0003	62.7090
Sample 77	Session 1	77	-42.6794	10.1766	100.0745	2020-08-25	10:58:01.245	TTL1	0.0000	1	14.9986	60.0003	63.8491
Sample 78	Session 1	78	-42.8455	10.4213	99.6024	2020-08-25	10:58:04.641	TTL1	0.0000	1	14.9986	60.0003	62.7090
Sample 79	Session 1	79	-42.9484	10.3363	99.5175	2020-08-25	10:58:08.159	TTL1	0.0000	1	14.9986	60.0003	67.2697
Sample 80	Session 1	80	-43.1914	10.1489	99.4040	2020-08-25	10:58:11.557	TTL1	0.0000	1	14.9986	60.0003	69.5500
Sample 81	Session 1	81	-43.1906	9.9010	99.7466	2020-08-25	10:58:15.415	TTL1	0.0000	1	14.9986	60.0003	68.4099
Sample 82	Session 1	82	-43.0364	9.9635	99.7949	2020-08-25	10:58:18.814	TTL1	0.0000	1	14.9986	60.0003	66.1295
Sample 83	Session 1	83	-42.9769	9.8750	99.9265	2020-08-25	10:58:22.672	TTL1	0.0000	1	14.9986	60.0003	67.2697
Sample 84	Session 1	84	-42.5767	9.5567	99.8661	2020-08-25	10:58:26.221	TTL1	0.0000	1	14.9986	60.0003	70.6902
Sample 85	Session 1	85	-42.5623	9.8509	99.8942	2020-08-25	10:58:30.088	TTL1	0.0000	1	14.9986	60.0003	67.2697
Sample 86	Session 1	86	-42.4859	11.0032	99.4534	2020-08-25	10:58:33.585	TTL1	0.0000	1	14.9986	60.0003	68.4099
Sample 87	Session 1	87	-42.5338	11.1031	99.3961	2020-08-25	10:58:36.497	TTL1	0.0000	1	14.9986	60.0003	69.5500
Sample 88	Session 1	88	-42.5203	10.0393	100.1253	2020-08-25	10:58:39.798	TTL1	0.0000	1	14.9986	60.0003	64.9893
Sample 89	Session 1	89	-42.6388	10.4803	99.9558	2020-08-25	10:58:43.655	TTL1	0.0000	1	14.9986	60.0003	98.0541
Sample 90	Session 1	90	-42.6415	10.6015	99.7055	2020-08-25	10:58:46.665	TTL1	0.0000	1	14.9986	60.0003	71.8304
Sample 91	Session 1	91	-42.9517	10.5357	100.1109	2020-08-25	10:58:49.909	TTL1	0.0000	1	14.9986	60.0003	90.0729
Sample 92	Session 1	92	-42.8476	10.3571	99.8949	2020-08-25	10:58:53.121	TTL1	0.0000	1	14.9986	60.0003	70.6902
Sample 93	Session 1	93	-42.6224	10.5773	100.1316	2020-08-25	10:58:56.068	TTL1	0.0000	1	14.9986	60.0003	88.9328
Sample 94	Session 1	94	-42.4764	10.5901	100.4251	2020-08-25	10:58:59.381	TTL1	0.0000	1	14.9986	60.0003	66.1295
Sample 95	Session 1	95	-42.4808	10.7964	100.1821	2020-08-25	10:59:02.679	TTL1	0.0000	1	14.9986	60.0003	76.3909
Sample 96	Session 1	96	-42.5447	10.2752	100.5347	2020-08-25	10:59:06.433	TTL1	0.0000	1	14.9986	60.0003	66.1295
END MEP	Session 1	97	-42.4745	10.0431	100.3229	2020-08-25	10:59:09.286	TTL1	0.0000	1	14.9986	60.0003	67.2697
START ICF	Session 1	98	-43.5148	10.0428	100.4058	2020-08-25	11:01:34.847	TTL1	0.0000	1	14.9986	60.0003	60.4286
Sample 99	Session 1	99	-43.5148	10.0428	100.4058	2020-08-25	11:01:34.860	TTL1	0.0000	1	14.9986	60.0003	50.1672
Sample 100	Session 1	100	-43.3053	9.4637	100.9652	2020-08-25	11:01:44.931	TTL1	0.0000	1	14.9986	60.0003	68.4099
Sample 101	Session 1	101	-43.3053	9.4637	100.9652	2020-08-25	11:01:44.944	TTL1	0.0000	1	14.9986	60.0003	58.1484
Sample 102	Session 1	102	-43.5392	9.4157	100.8397	2020-08-25	11:01:54.973	TTL1	0.0000	1	14.9986	60.0003	55.8680
Sample 103	Session 1	103	-43.4758	9.6919	100.8306	2020-08-25	11:02:05.043	TTL1	0.0000	1	14.9986	60.0003	70.6902
Sample 104	Session 1	104	-43.4569	9.5638	100.8685	2020-08-25	11:02:05.057	TTL1	0.0000	1	14.9986	60.0003	60.4287
Sample 105	Session 1	105	-43.3383	9.5662	101.1997	2020-08-25	11:02:15.081	TTL1	0.0000	1	14.9986	60.0003	58.1483
Sample 106	Session 1	106	-43.3632	9.2412	101.4061	2020-08-25	11:02:25.150	TTL1	0.0000	1	14.9986	60.0003	115.1566
Sample 107	Session 1	107	-43.3632	9.2412	101.4061	2020-08-25	11:02:25.177	TTL1	0.0000	1	14.9986	60.0003	57.0082
Sample 108	Session 1	108	-43.4730	9.3713	101.0994	2020-08-25	11:02:35.191	TTL1	0.0000	1	14.9986	60.0003	58.1483
Sample 109	Session 1	109	-43.6185	9.5601	100.8719	2020-08-25	11:02:45.269	TTL1	0.0000	1	14.9986	60.0003	123.1376
Sample 110	Session 1	110	-43.6185	9.5601	100.8719	2020-08-25	11:02:45.283	TTL1	0.0000	1	14.9986	60.0003	62.7090
Sample 111	Session 1	111	-43.4816	9.6258	101.1662	2020-08-25	11:02:55.292	TTL1	0.0000	1	14.9986	60.0003	98.0541
Sample 112	Session 1	112	-43.4816	9.6258	101.1662	2020-08-25	11:02:55.306	TTL1	0.0000	1	14.9986	60.0003	86.6525
Sample 113	Session 1	113	-43.7626	10.5289	100.7048	2020-08-25	11:03:05.385	TTL1	0.0000	1	14.9986	60.0003	126.5582
Sample 114	Session 1	114	-43.7626	10.5289	100.7048	2020-08-25	11:03:05.399	TTL1	0.0000	1	14.9986	60.0003	58.1483
Sample 115	Session 1	115	-43.8196	10.3439	100.6975	2020-08-25	11:03:15.417	TTL1	0.0000	1	14.9986	60.0003	72.9704
Sample 116	Session 1	116	-43.8196	10.3439	100.6975	2020-08-25	11:03:15.431	TTL1	0.0000	1	14.9986	60.0003	64.9893
Sample 117	Session 1	117	-43.6844	10.1039	100.6181	2020-08-25	11:03:25.495	TTL1	0.0000	1	14.9986	60.0003	92.3533
Sample 118	Session 1	118	-43.6844	10.1039	100.6181	2020-08-25	11:03:25.509	TTL1	0.0000	1	14.9986	60.0003	82.0918
Sample 119	Session 1	119	-42.8610	10.4142	100.7691	2020-08-25	11:03:35.524	TTL1	0.0000	1	14.9986	60.0003	380.8146
Sample 120	Session 1	120	-42.8610	10.4142	100.7691	2020-08-25	11:03:35.537	TTL1	0.0000	1	14.9986	60.0003	380.8146
Sample 121	Session 1	121	-42.9356	10.2889	100.6583	2020-08-25	11:03:45.601	TTL1	0.0000	1	14.9986	60.0003	291.8818
Sample 122	Session 1	122	-42.9216	9.9400	100.8724	2020-08-25	11:03:55.641	TTL1	0.0000	1	14.9986	60.0003	150.5016
Sample 123	Session 1	123	-42.9216	9.9400	100.8724	2020-08-25	11:03:55.641	TTL1	0.0000	1	14.9986	60.0003	150.5016
Sample 124	Session 1	124	-42.7300	9.3438	101.1426	2020-08-25	11:04:05.711	TTL1	0.0000	1	14.9986	60.0003	67.2697
Sample 125	Session 1	125	-42.8278	9.4407	100.9555	2020-08-25	11:04:15.741	TTL1	0.0000	1	14.9986	60.0003	198.3884
Sample 126	Session 1	126	-42.8278	9.4407	100.9555	2020-08-25	11:04:15.755	TTL1	0.0000	1	14.9986	60.0003	198.3884
Sample 127	Session 1	127	-42.8635	9.7400	101.0407	2020-08-25	11:04:25.827	TTL1	0.0000	1	14.9986	60.0003	80.9517
Sample 128	Session 1	128	-43.0883	9.9957	100.9238	2020-08-25	11:04:35.848	TTL1	0.0000	1	14.9986	60.0003	94.6336
Sample 129	Session 1	129	-43.0883	9.9957	100.9238	2020-08-25	11:04:35.862	TTL1	0.0000	1	14.9986	60.0003	77.5311
Sample 130	Session 1	130	-43.2157	9.8606	100.9949	2020-08-25	11:04:45.929	TTL1	0.0000	1	14.9986	60.0003	71.8304
Sample 131	Session 1	131	-43.0840	9.7825	101.0321	2020-08-25	11:04:55.963	TTL1	0.0000	1	14.9986	60.0003	93.4933
Sample 132	Session 1	132	-43.0840	9.7825	101.0321	2020-08-25	11:04:55.964	TTL1	0.0000	1	14.9986	60.0003	82.0917
Sample 133	Session 1	133	-43.2582	9.5013	100.7655	2020-08-25	11:05:06.039	TTL1	0.0000	1	14.9986	60.0003	216.6311
Sample 134	Session 1	134	-43.2582	9.5013	100.7655	2020-08-25	11:05:06.053	TTL1	0.0000	1	14.9986	60.0003	216.6311
Sample 135	Session 1	135	-43.3570	9.8173	100.9171	2020-08-25	11:05:16.079	TTL1	0.0000	1	14.9986	60.0003	231.4531
Sample 136	Session 1	136	-43.3570	9.8173	100.9171	2020-08-25	11:05:16.079	TTL1	0.0000	1	14.9986	60.0003	231.4531
Sample 137	Session 1	137	-43.4204	9.9075	100.7784	2020-08-25	11:05:26.158	TTL1	0.0000	1	14.9986	60.0003	139.0999
Sample 138	Session 1	138	-43.4204	9.9075	100.7784	2020-08-25	11:05:26.158	TTL1	0.0000	1	14.9986	60.0003	126.5582
Sample 139	Session 1	139	-43.4954	9.6561	100.6158	2020-08-25	11:05:36.188	TTL1	0.0000	1	14.9986	60.0003	128.8385
Sample 140	Session 1	140	-43.4954	9.6561	100.6158	2020-08-25	11:05:36.202	TTL1	0.0000	1	14.9986	60.0003	114.0164
Sample 141	Session 1	141	-43.5221	9.4754	100.7958	2020-08-25	11:05:46.272	TTL1	0.0000	1	14.9986	60.0003	107.1754
Sample 142	Session 1	142	-43.1229	9.6376	100.8012	2020-08-25	11:05:56.294	TTL1	0.0000	1	14.9986	60.0003	99.1942
