# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK	-22.4410	8.5808	95.6471
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
HK	Session 1	32	-22.4410	8.5808	95.6471	2020-11-17	10:06:23.743	TTL1	0.0000	1	15.0220	60.0282	19.3828
MEP Start	Session 1	63	-22.1822	9.0661	96.0180	2020-11-17	10:13:38.308	TTL1	0.0000	1	15.0220	60.0282	22.8032
Sample 64	Session 1	64	-22.5633	7.6889	96.2658	2020-11-17	10:13:43.816	TTL1	0.0000	1	15.0220	60.0282	22.8033
Sample 65	Session 1	65	-22.5735	7.5038	95.9958	2020-11-17	10:13:46.378	TTL1	0.0000	1	15.0220	60.0282	18.2426
Sample 66	Session 1	66	-22.5294	7.7062	95.9894	2020-11-17	10:13:52.787	TTL1	0.0000	1	15.0220	60.0282	18.2427
Sample 67	Session 1	67	-22.6767	7.6482	95.9360	2020-11-17	10:13:56.045	TTL1	0.0000	1	15.0220	60.0282	19.3828
Sample 68	Session 1	68	-22.4894	8.1755	95.9509	2020-11-17	10:14:01.995	TTL1	0.0000	1	15.0220	60.0282	14.8222
Sample 69	Session 1	69	-22.5903	7.9521	95.7131	2020-11-17	10:14:04.751	TTL1	0.0000	1	15.0220	60.0282	18.2427
Sample 70	Session 1	70	-22.5590	7.9070	95.9476	2020-11-17	10:14:08.400	TTL1	0.0000	1	15.0220	60.0282	20.5229
Sample 71	Session 1	71	-22.7769	8.0891	95.7511	2020-11-17	10:14:17.264	TTL1	0.0000	1	15.0220	60.0282	19.3828
Sample 72	Session 1	72	-22.5606	7.7234	95.8677	2020-11-17	10:14:23.322	TTL1	0.0000	1	15.0220	60.0282	17.1025
Sample 73	Session 1	73	-22.6813	7.9270	95.8184	2020-11-17	10:14:26.538	TTL1	0.0000	1	15.0220	60.0282	15.9623
Sample 74	Session 1	74	-22.7274	7.8660	95.7922	2020-11-17	10:14:33.948	TTL1	0.0000	1	15.0220	60.0282	13.6820
Sample 75	Session 1	75	-21.7084	9.0937	95.7646	2020-11-17	10:14:38.344	TTL1	0.0000	1	15.0220	60.0282	14.8221
Sample 76	Session 1	76	-21.9530	8.4454	95.5128	2020-11-17	10:14:41.254	TTL1	0.0000	1	15.0220	60.0282	12.5419
Sample 77	Session 1	77	-22.1213	8.6108	95.7308	2020-11-17	10:14:44.660	TTL1	0.0000	1	15.0220	60.0282	11.4017
Sample 78	Session 1	78	-22.3576	8.3133	95.7917	2020-11-17	10:14:52.065	TTL1	0.0000	1	15.0220	60.0282	9.1213
Sample 79	Session 1	79	-22.5787	8.1414	95.8054	2020-11-17	10:14:58.026	TTL1	0.0000	1	15.0220	60.0282	25.0836
Sample 80	Session 1	80	-22.8259	7.7828	95.8130	2020-11-17	10:15:04.030	TTL1	0.0000	1	15.0220	60.0282	6.8411
Sample 81	Session 1	81	-22.8258	7.8747	95.7321	2020-11-17	10:15:09.241	TTL1	0.0000	1	15.0220	60.0282	26.2237
MEP End	Session 1	82	-22.7229	8.0030	95.7478	2020-11-17	10:15:15.204	TTL1	0.0000	1	15.0220	60.0282	6.8411
ICF Start	Session 1	83	-22.0542	7.4601	96.0840	2020-11-17	10:17:10.561	TTL1	0.0000	1	15.0220	60.0282	62.7090
Sample 84	Session 1	84	-21.6933	9.7769	95.0663	2020-11-17	10:17:20.635	TTL1	0.0000	1	15.0220	60.0282	42.1861
Sample 85	Session 1	85	-22.0070	8.4217	95.4031	2020-11-17	10:17:30.674	TTL1	0.0000	1	15.0220	60.0282	22.8032
Sample 86	Session 1	86	-22.0192	7.9830	95.6209	2020-11-17	10:17:40.765	TTL1	0.0000	1	15.0220	60.0282	64.9893
Sample 87	Session 1	87	-21.9130	8.0830	95.6890	2020-11-17	10:17:50.793	TTL1	0.0000	1	15.0220	60.0282	18.2427
Sample 88	Session 1	88	-22.3967	7.9347	95.5895	2020-11-17	10:18:00.881	TTL1	0.0000	1	15.0220	60.0282	47.8868
Sample 89	Session 1	89	-22.1128	8.1666	95.5101	2020-11-17	10:18:10.915	TTL1	0.0000	1	15.0220	60.0282	7.9812
Sample 90	Session 1	90	-22.3213	7.9778	95.6304	2020-11-17	10:18:20.992	TTL1	0.0000	1	15.0220	60.0282	31.9246
Sample 91	Session 1	91	-22.0031	8.6352	95.6463	2020-11-17	10:18:31.029	TTL1	0.0000	1	15.0220	60.0282	13.6819
Sample 92	Session 1	92	-22.2832	8.2565	95.5493	2020-11-17	10:18:41.108	TTL1	0.0000	1	15.0220	60.0282	37.6254
Sample 93	Session 1	93	-21.8779	7.8493	95.7716	2020-11-17	10:18:51.146	TTL1	0.0000	1	15.0220	60.0282	26.2238
Sample 94	Session 1	94	-21.9648	8.2315	95.6122	2020-11-17	10:19:01.227	TTL1	0.0000	1	15.0220	60.0282	34.2049
Sample 95	Session 1	95	-22.0855	8.1625	95.6439	2020-11-17	10:19:11.258	TTL1	0.0000	1	15.0220	60.0282	44.4663
Sample 96	Session 1	96	-21.9979	8.0196	95.9534	2020-11-17	10:19:21.328	TTL1	0.0000	1	15.0220	60.0282	12.5419
Sample 97	Session 1	97	-22.2117	7.8326	95.4889	2020-11-17	10:19:31.355	TTL1	0.0000	1	15.0220	60.0282	42.1860
Sample 98	Session 1	98	-22.0759	8.1478	95.8479	2020-11-17	10:19:41.435	TTL1	0.0000	1	15.0220	60.0282	18.2426
Sample 99	Session 1	99	-22.2110	8.2049	95.5437	2020-11-17	10:19:51.462	TTL1	0.0000	1	15.0220	60.0282	49.0271
Sample 100	Session 1	100	-21.9430	8.7640	95.6879	2020-11-17	10:20:01.539	TTL1	0.0000	1	15.0220	60.0282	17.1024
Sample 101	Session 1	101	-22.2040	8.0414	95.9045	2020-11-17	10:20:11.567	TTL1	0.0000	1	15.0220	60.0282	31.9246
Sample 102	Session 1	102	-22.1627	8.1370	95.8709	2020-11-17	10:20:21.663	TTL1	0.0000	1	15.0220	60.0282	17.1024
Sample 103	Session 1	103	-22.1281	7.8519	95.9319	2020-11-17	10:20:31.694	TTL1	0.0000	1	15.0220	60.0282	35.3450
Sample 104	Session 1	104	-22.1838	7.6554	95.9456	2020-11-17	10:20:41.775	TTL1	0.0000	1	15.0220	60.0282	51.3074
Sample 105	Session 1	105	-22.1830	8.0567	95.7901	2020-11-17	10:20:51.801	TTL1	0.0000	1	15.0220	60.0282	53.5877
Sample 106	Session 1	106	-22.2159	7.8907	95.6926	2020-11-17	10:21:01.871	TTL1	0.0000	1	15.0220	60.0282	34.2050
Sample 107	Session 1	107	-22.0546	8.2922	95.9918	2020-11-17	10:21:11.913	TTL1	0.0000	1	15.0220	60.0282	49.0271
Sample 108	Session 1	108	-22.1520	8.0024	95.7616	2020-11-17	10:21:21.997	TTL1	0.0000	1	15.0220	60.0282	18.2426
Sample 109	Session 1	109	-22.1201	7.8602	95.7815	2020-11-17	10:21:32.036	TTL1	0.0000	1	15.0220	60.0282	31.9246
Sample 110	Session 1	110	-22.0025	7.7531	95.9609	2020-11-17	10:21:42.106	TTL1	0.0000	1	15.0220	60.0282	19.3827
Sample 111	Session 1	111	-22.1075	8.1637	95.9424	2020-11-17	10:21:52.151	TTL1	0.0000	1	15.0220	60.0282	33.0647
Sample 112	Session 1	112	-22.3477	8.0429	95.5220	2020-11-17	10:22:02.228	TTL1	0.0000	1	15.0220	60.0282	38.7656
Sample 113	Session 1	113	-22.5659	8.1060	95.4644	2020-11-17	10:22:12.256	TTL1	0.0000	1	15.0220	60.0282	20.5229
Sample 114	Session 1	114	-22.7945	8.0840	95.4279	2020-11-17	10:22:22.345	TTL1	0.0000	1	15.0220	60.0282	52.4475
Sample 115	Session 1	115	-22.7329	8.3861	95.3828	2020-11-17	10:22:32.379	TTL1	0.0000	1	15.0220	60.0282	20.5229
Sample 116	Session 1	116	-21.3909	9.7048	96.1749	2020-11-17	10:22:42.449	TTL1	0.0000	1	15.0220	60.0282	17.1025
Sample 117	Session 1	117	-22.2086	7.9613	95.5506	2020-11-17	10:22:52.474	TTL1	0.0000	1	15.0220	60.0282	21.6631
